Code,Title,DMsGuild,Levels,Runtime,Magic Item,Magic Item Flavor,Story Award Title,Story Award Description,Spellbook,Locations,Series,Notes
CCC-BMG-29 HILL-2-2,The Red Herring ,https://www.dmsguild.com/product/240422/CCCBMG29-Hill-22-The-Red-Herring,5-10,4,Weapon +1 (Hand crossbow),"Weapon +1 (Hand crossbow) (Widowmaker)
This +1 black wooden hand crossbow has a blood red heart engraved on it that bleeds a little every a bolt from it kills someone.","Enmity in Hillsfar
You’ve Got a Friend in Me
Friend of the Mage’s Guild
Friend of the Rogue’s Guild","Enmity in Hillsfar
The citizens of Hillsfar don’t take kindly to being pushed around. They have started to report your movements and activities to your foes. As a result, whenever you are adventuring in the Hillsfar region, your enemies have advantage on Dexterity (Stealth) and Wisdom (Perception) checks used to determine surprise. The Story Reward “A Favor of Rogues” or “Savior of Hillsfar” can be used to negate the effects of this Story Reward.

You’ve Got a Friend in Me
The Zulkir remembers his debts and debtors and spreads through the Red Wizard channels that you are a friend of Thay. You receive advantage on all ability checks when playing HILL2-1 and HILL2- 3 in dealing with the Red Wizards. Each module has this Story Award and if a character receives three ranks of this, the effect is permanent in any dealings with the Red Wizards of Thay. If you have already received this Story Award from a previous adventure, this counts as earning another rank towards making it permanent

Friend of the Mage’s Guild
If you’re in Hillsfar and need some help with a magical problem and have time to bring it to the Mage’s Guild, you gain advantage on any check that deals with Arcana once per session. Also, any future interactions with members of the Hillsfar Mage’s Guild that require skill checks have advantage.

Friend of the Rogue’s Guild
If you’re in Hillsfar and need some help with getting information about people or places in and around the city, you can reach out to the Rogue’s Guild once per session and gain advantage on that check. Also, any future interactions with members of the Hillsfar Rogue’s Guild that require skill checks have advantage.",,Hillsfar,,
CCC-BMG-30 HILL-2-3,The Red Death,https://www.dmsguild.com/product/240423/CCCBMG30-Hill-23-The-Red-Death,5-10,4,"Periapt of Proof Against Poison
Philter of Love","Periapt of Proof Against Poison (Achis Atracta)
This amulet is made of an intricately carved bloodstone, shaped in the likeness of a woman’s head. The eyes pulse with a white glow when Achis is speaking. The stone is attached to a delicate silver chain.
    Achis Atracta has all the powers of a periapt of proof against poison that she bestows upon her wearer—if she feels so inclined. She is very fickle (see Personality).
    Sentience. Achis Atracta is a sentient chaotic neutral item with an Intelligence of 10, a Wisdom of 10, and a Charisma of 16. She has hearing and normal vision out to a range of 120 feet. She can speak, read, and understand Common and Celestial.
    Personality. Achis Atracta speaks in a whiny and shrill voice, making demands as though accustomed to being obeyed. She acts like a spoiled noble and expects to be waited on like a queen. Wearers who do not treat her with respect and deference gain no benefit from her item powers. She screams and complains loudly if surprised by a situation she deems beneath her—such as trekking through a sewer or being engulfed by a fireball.
    Achis wants to be loved and adored by a person with power and standing like a princess in a fairy tale. Her greatest wish is to fall in love with a prince and be swept off her feet—figuratively speaking.","A Favor of Rogues
Hapless in Hillsfar
Lover’s Enmity
Take Care of Her
You’ve Got a Friend in Me","A Favor of Rogues
For saving Isthana Ro, the Rogue’s Guild of Hillsfar owes the characters a favor. If the characters ever need a hand while in Hillsfar, or anytime Isthana Ro or a member of the Rogue’s Guild of Hillsfar is around and can be asked for help, they gain advantage on a check as if they used the aid action or can provide information they would know as if they rolled a 20 on the Knowledge check. After this has been used once it goes away.

Hapless in Hillsfar
The failure of the characters has reverberated throughout Hillsfar, and any time the characters make a check dealing with the people of Hillsfar they have disadvantage until they succeed at an adventure and regain the faith of the people of Hillsfar.

Lover’s Enmity
For stealing Achis Atracta from him, Martek Leer swears eternal vengeance upon all the characters bearing this Story Award. The eyes of Martek’s agents are always upon these characters when in Hillsfar. Once for each adventure played or each Downtime day spent in Hillsfar, roll a d20. On a 1, the DM may select to turn any attack roll, saving throw, or ability check the character makes into a 1 as Martek’s agents interfere. This Story Award has further consequences in future adventures!

Take Care of Her
Because of his failure to protect her, Martek Leer has entrusted Achis Atracta to your care—as her new bearer or companion—and tearfully wishes you a wonderful future together. His love-filled well-wishes bear a special kind of luck. Once for each adventure played in Hillsfar, you can invoke that luck to add 1d4 to any d20 roll you make. You can apply this Story Award after you make the roll, but before the results are known.

You’ve Got a Friend in Me
The Zulkir remembers his debts and debtors and spreads through the Red Wizard channels that you are a friend of Thay. Each Hillsfar Trilogy 2 adventure has this Story Award, and if a character receives three ranks of this, the effect (advantage on social skill checks) is permanent in any dealings with the Red Wizards of Thay.",,Hillsfar,,sentient item
CCC-BMG-46-HILL-3-1,Shepherd the Weak,https://www.dmsguild.com/product/266616/CCCBMG46-HILL-31-Shepherd-the-Weak,5-10,4,"Ring of Animal Influence
Potion of Greater Healing",,Farbough Farm B&B,"Farbough Farm B&B
The Farbough Family owes you a debt of gratitude for the safe return of their son Pynroth. Whenever your adventuring brings you to the Hillsfar area, you are welcome to lodge with them on their farm, board included. 
    They cannot promise you anything fancier than a warm and dry play to lay your bedroll and simple but hearty food, including Bea’s famous Buckwheat pancakes smothered in their own farm fresh maple syrup to fill your belly, but their home is yours.
    This grants you a modest lifestyle for the duration of your stay, at no cost to you. If you choose to live a more lavish lifestyle, this award will reduce your cost by 1gp a day.",,Hillsfar,,
CCC-BMG-47 HILL-3-2,Suffer the Children,https://www.dmsguild.com/product/266617/CCCBMG47-HILL-32-Suffer-the-Children,5-10,4,"Wand of Wonder
Potion of Greater Healing
Potion of Heroism
Potion of Resistance (Necrotic)",,Healer’s Gratitude,"Healer's Gratitude
Carilaea Fallowmoth’s reputation and livelihood have been saved thanks to you. She offers each member of the party a potion of greater healing as thanks. You also receive discounted rates on the following spellcasting services if you go to her during any adventure that takes place in or around Hillsfar.
Spell Former Cost New Cost
Cure wounds (1st level) 10 gp 5 gp
Lesser restoration 40 gp 20 gp
Prayer of healing (2nd level) 40 gp 20 gp
Remove curse 90 gp 45 gp
Greater restoration 450 gp 225 gp",,"Hillsfar, Cormanthor Forest",,
CCC-BMG-48 HILL-3-3,Spare the Rod,https://www.dmsguild.com/product/266618/CCCBMG48-HILL-33-Spare-the-Rod,5-10,4,"Ioun Stone of Reserve
Oil of Slipperiness
Potion of Animal Friendship
Potion of Clairvoyance","Ioun Stone of Reserve
This deep violet, almost indigo, translucent prism has a noticeable chunk broken off of one corner. When found, it contains the spell lightning bolt. While orbiting the owner’s head, the stone emits a low buzzing, like an insect, which is only perceptible to the owner.

Oil of Slipperiness
The glass bottle containing this viscous black fluid has a label reading “XWXXX”.

Potion of Animal Friendship
The thick, brown fluid in this small clay pot resembles chunky mud and feels scratchy on the throat while being consumed. T

Potion of Clairvoyance
When the cork protecting the fluid in this glass vial is removed, the user can hear faint, undecipherable whispers coming from the clear, yellow fluid within.","A Debt Owed
Hidey Hole
Whispers of Madness","A Debt Owed
The Zhentarim appreciate your efforts. You may remove this story award from your log sheet in exchange for either of the following:
- You may remove the In Dark Linsa’s Pocket story award from DDEX1-10, if you have it and you wish to do so.
- If you are a member of the Zhentarim, you may gain one additional renown point.
Otherwise, keep this story award and it may have other repercussions in the future

Hidey Hole
You know of a long-lost fey’ri complex under an abandoned farm on the outskirts of Hillsfar. Before or after any adventure in Hillsfar (including any DDEX3-xx or HILL x-x adventure), you may spend downtime in the area and receive the benefits of a Modest lifestyle at no cost.

Whispers of Madness
Your dreams are occasionally haunted by visions of Nolo and an old human man wearing torn and bloody clothes that are somehow related. You gain the ability to read and understand spoken Abyssal (but not to speak or write it) if you do not already have it.",,Hillsfar,,"Downtime Activity: Learn the Culture (Hillsfar)
You may spend 5 downtime days (and the associated lifestyle cost) in Hillsfar touring the city and learning the history of the region. You gain advantage on any single ability check relating to the city of Hillsfar, the Red Plumes, the Great Law of Trade, or on any single attack against a fiendish or evil fey creature.

Learn abyssal"
CCC-BMG-13 PHLAN-1-1,Sepulture,https://www.dmsguild.com/product/189520/CCCBMG13-PHLAN-11-Sepulture,11-16,4,"Shield +3
Potion of Greater Healing
Spell Scroll of Lesser Restoration
Spell Scroll of Wind wall
Spell Scroll of Zone of Truth","Shield +3 (Miltiades's Shield)
This shield is decorated with symbols of service and fealty. The shield empathically encourages service to others and whenever the bearer considers performing a selfish act, the shield enhances pangs of conscious.","Barbarian
Blasphemer
Exposed","Barbarian
You have shown a willful disregard for the preservation of knowledge in Mantor’s Library. The librarians remember your callous disregard for the books and you have disadvantage on any ability checks made to convince the librarians to assist you.

Blasphemer
You have robbed the Necropolis or allowed others to do so and your behavior has been reported back to the church of Kelemvor. Your despised name is spread far and wide among its clergy. Because of this, all members of Kelemvor’s clergy are highly distrustful of you. So long as you have this enmity, all future Charisma (Deception, Intimidation, or Persuasion) checks made against members of Kelemvor’s faithful are made with disadvantage. Additionally, the cost for any spellcasting services provided by the clergy of Kelemvor is increased by 10%. If you have Enmity of Doomguide Yovir Glandon from DDEX1-4 Dues from the Dead, your costs instead increase by 50%.

Exposed
You have been previously exposed to Godstouched disease. In any adventure where you might contract this disease, increase your chance by 10%.","Eihim’s Traveling Spellbook
This slim traveling spellbook is bound in heavy leather with the mage sigil of Eihim the Archmage, a star burst atop the heraldry of the town of Phlan, embossed on the cover. It contains the following spells: 
1st-detect magic, identify, mage armor, magic missile; 
2nd-detect thoughts, mirror image, misty step; 
3rd-counterspell, fly, lightning bolt; 
4th-banishment, evard’s black tentacles, fire shield, stoneskin; 
5th-cone of cold, wall of force; 
6th disintegration; 
7th-teleport; 
8th-maze; 
9th-time stop.",Phlan,Alliances Trilog (1),
CCC-BMG-14 PHLAN-1-2,Enemy of my Enemy,https://www.dmsguild.com/product/189522/CCCBMG14-PHLAN-12-Enemy-of-my-Enemy,11-16,4,Spell Scroll of Polymorph,,"Master of the Thieves’ Guild","Master of the Thieves' Guild
You have saved Glevith of the Welcomers from certain death. In return, he makes you an honorary master of the Welcomers. All purchases you make within Phlan are 25% cheaper, including spell services.
    In addition, up to five future characters that you create in the Adventurers League gain a free tool proficiency in Thieves’ Tools, and begin play with a set of Thieves’ Tools.",,Phlan,Alliances Trilog (2),
CCC-BMG-15 PHLAN-1-3,Subterfuge,https://www.dmsguild.com/product/189523/CCCBMG15-PHLAN-13-Subterfuge,11-16,4,Frost Brand (Greatsword),,"Razorhand-shake
Insider Trading","Razorhand-shake
You have rescued Rouse Blackbrand from certain demise. At the party’s request, Rouse vows to support their choice of candidate for Leader of Phlan. This may prove useful in the future

Insider Trading
Aveen Seakin is impressed with your abilities and determination. She offers to put in a good word if any of them want to become procurers for Aurora’s Whole Realms Catalog at some point in the future.",,Phlan,Alliances Trilog (3),
CCC-BMG-22 PHLAN-2-1 ,Demagogue,https://www.dmsguild.com/product/230627/CCCBMG22-PHLAN-21-Demagogue,11-16,4,Tyr’s Blessing of the Mind,"Tyr’s Blessing of the Mind
This blessing has been bestowed upon you by Tyr in recognition of your service to the city and citizens of Phlan in the face of great peril to your own wellbeing. Your Intelligence score increases by 2, up to a maximum of 20. This blessing may be refused. If accepted, it requires an attunement slot.
    This blessing is offered to all adventurers regardless of completing the other two adventures in the trilogy. This blessing is not tradeable, and if refused or unattuned, it cannot be regained.",In Service to the Iron General,"In Service to the Iron General
This is an optional reward. You may choose to forgo applying the experience of this adventure if doing so would advance you to 17th level. You may only defer the awards in order to complete the other adventures in the PHLAN2 trilogy, or PHLAN2-S, in subsequent sessions. You must apply all deferred experience before playing any other adventures not part of the PHLAN2 Sovereignty Trilogy.",,Phlan,Sovereignty (1),"The Guardian Medal
The Guardian Medal is bestowed to each character. The medal has a value of 1000 gp, but is worth more by displaying it in Phlan. It garners significant influence within the city, and to a lesser degree in other Moonsea cities. Adventurers wearing a guardian medal gain advantage on all Charisma based ability checks within the Phlan."
CCC-BMG-23 PHLAN-2-2,Hatemaster,https://www.dmsguild.com/product/230628/CCCBMG23-PHLAN-22-Hatemaster,11-16,4,Tyr’s Blessing of Command,"Tyr’s Blessing of Command
This blessing has been bestowed upon you by Tyr in recognition of your service to the city and citizens of Phlan in the face of great peril to your own wellbeing. Your Charisma score increases by 2, up to a maximum of 20. This blessing may be refused. If accepted, it requires an attunement slot.
    This blessing is offered to all adventurers regardless of completing the other two adventures in the trilogy. This blessing is not tradeable, and if refused or unattuned, it may not be regained.",In Service to the Iron General,"In Service to the Iron General
This is an optional reward. You may choose to forgo applying the experience of this adventure if doing so would advance you to 17th level. You may only defer the awards in order to complete the other adventures in the PHLAN2 trilogy, or PHLAN2-S, in subsequent sessions. You must apply all deferred experience before playing any other adventures not part of the PHLAN2 Sovereignty Trilogy.",,Phlan,Sovereignty (2),"The Guardian Medal
The Guardian Medal is bestowed to each character. The medal has a value of 1000 gp, but is worth more by displaying it in Phlan. It garners significant influence within the city, and to a lesser degree in other Moonsea cities. Adventurers wearing a guardian medal gain advantage on all Charisma based ability checks within the Phlan."
CCC-BMG-24 PHLAN-2-3 ,The Royal We,https://www.dmsguild.com/product/230629/CCCBMG24-PHLAN-23-The-Royal-We,11-16,4,Tyr’s Blessing of Luck,"Tyr’s Blessing of Luck
This blessing has been bestowed upon you by Tyr in recognition of your service to the city and citizens of Phlan in the face of great peril to your own well-being. You gain a +1 bonus to ability checks and saving throws. This blessing may be refused. If accepted, it requires an attunement slot.
    This blessing is offered to all adventurers regardless of completing the other two adventures in the trilogy. This blessing is not tradeable, and if refused or unattuned, it may not be regained.",In Service to the Iron General,"In Service to the Iron General
This is an optional reward. You may choose to forgo applying the experience of this adventure if doing so would advance you to 17th level. You may only defer the awards in order to complete the other adventures in the PHLAN2 trilogy, or PHLAN2-S, in subsequent sessions. You must apply all deferred experience before playing any other adventures not part of the PHLAN2 Sovereignty Trilogy.",,Phlan,Sovereignty (3),"The Guardian Medal
The Guardian Medal is bestowed to each character. The medal has a value of 1000 gp, but is worth more by displaying it in Phlan. It garners significant influence within the city, and to a lesser degree in other Moonsea cities. Adventurers wearing a guardian medal gain advantage on all Charisma based ability checks within the Phlan
"
CCC-BMG-31 PHLAN-3-1,The Conventicle of Chaos,https://www.dmsguild.com/product/247511/CCCBMG31-PHLAN-31-The-Conventicle-of-Chaos,1-4,4,"Stone of Good Luck
Potion of Healing
Spell Scroll of Invisibility",,,,"Holt’s Spellbook
This spellbook has silk paper and is bound with a satinwrapped cover. It contains the following wizard spells: 
cantrip: shocking grasp
1st: disguise self, illusory script
2nd: arcane lock, invisibility, phantasmal force, see invisibilty
3rd: bestow curse, glyph of warding",Phlan,Coin Spinner (1),
CCC-BMG-32 PHLAN-3-2,The First Rule,https://www.dmsguild.com/product/247512/CCCBMG32-PHLAN-32-The-First-Rule,1-4,4,Lantern of Revealing,"Lantern of Revealing
This lantern is made of leather, bones and smells like grave soil. It was created by a necromancer and the light it gives off is an eerie reddish tint. The lantern runs off blood instead of oil, and a pint burns for twice as long as normally.",Crucible Champion,"Crucible Champion
Your group won enough battles in the Crucible of Mayhem to earn a reputation among the Coin Spinners. You may expend this story reward to gain advantage on an ability check against a Coin Spinner member.
",,Phlan,Coin Spinner (2),
CCC-BMG-33 PHLAN-3-3,Spinning on the Edge,https://www.dmsguild.com/product/247513/CCCBMG33-PHLAN-33-Spinning-on-the-Edge,1-4,4,"Weapon +1 (Glaive)
Potion of Healing","Weapon +1 (Glaive)
The entire lower portion of the weapon’s haft is made of some unidentified creature’s thigh or shoulder joint. The pommel has purposely notched edges and looks as though it could no longer function in the socket of whatever it came from.",,,,Phlan,Coin Spinner (3),Flask of alchemist's fire
CCC-BMG-43 PHLAN-4-1,Ghoulies and Ghosties,https://www.dmsguild.com/product/265111/CCCBMG43-PHLAN-41-Ghoulies-and-Ghosties,5-10,4,Helm of Teleportation,"Helm of Teleportation
This black helm has a gold crown built into the ornamentation. It resembles the ceremonial battle helm of a samurai warrior. In the crest of the crown it features a skull with a prominent black diamond on its forehead, the symbol of the Order of the Long Death.",,,,Phlan,,
CCC-BMG-44 PHLAN-4-2,Long Leggity Beasties,https://www.dmsguild.com/product/265112/CCCBMG44-PHLAN-42-Long-Leggity-Beasties,5-10,4,"Cloak of the Bat
Spell Scroll of Sending","Cloak of the Bat
A tattered black cloak that seems so dark that it absorbs light, and so fine that it be tossed about fiercely in even the slightest breeze.",,,,Phlan,,
CCC-BMG-45 PHLAN-4-3,Things That Go Bump in the Night ,https://www.dmsguild.com/product/265113/CCCBMG45-PHLAN-43-Things-That-Go-Bump-in-the-Night,5-10,4,Wand of Fear,"Wand of Fear
This simple stick made from the trees that grow in the Glumpen Swamp. It is wrapped in strands of black leather. The skull of a small fanged reptile is lashed to one end. On its forehead is a prominent black diamond.
","Friend of the Order of the Long Death
Quassine Colony Ring","Friend of the Order of the Long Death
You helped a monk of the Way of the Long Death retrieve information about a significant leader and monastery of his Order. Your name is now known among their devoted. At the DMs discretion, they look upon you with favor and you may take shelter at their monasteries

Quassine Colony Ring
You possess a signet ring of the Quassine colony of illithids. The ring is decorated with an inlaid qualith, illithid writings. It holds psychic knowledge of the colony as it existed when the ring was taken from its illithid owner. As long as you possess this ring, the colony will attempt to recover it by hunting you down. Any gith would also go to great lengths or expense to learn the information it holds. This award expires if possession of the ring is lost.",,Phlan,,"Downtime Activity: State of the Quassine
Characters possessing the Quassine Colony Ring story award have access to the following downtime activity.
    By spending three downtime days in study, the possessor of the Quassine signet ring may learn the following information:
The Quassine colony of illithids is a new colony that has recently broken free of their elder brain and are under the leadership of the ulitharid, Lord Vathrax. Their prized possession is a nautiloid ship and they will do anything to protect it. Vathrax, much like Kaidan, became intrigued by the monk’s studies, and the power held by Phryne. Assuming they can get her to move it into another plane, they also covet the monastery as a location suitable for Vathrax’s transition to an Elder Brain.
"
CCC-BMG-16 ELM-1-1,The Sage of Cormanthor,https://www.dmsguild.com/product/203366/CCCBMG16-ELM-11-The-Sage-of-Cormanthor,5-10,4,"Figurine of Wondrous Power (Ivory Goats)
Spell Scroll of Mass Healing Word
Potion of Healing","Figurine of Wondrous Power (Ivory Goats)
These old figurine are three brown and white goats with long floppy ears. When in goat form, the goats loudly bleat and give disadvantage on stealth checks to their owner.",,,,Elmwood,Misaligned (1),
CCC-BMG-17 ELM-1-2 ,The Lost Sanctum,https://www.dmsguild.com/product/204921/CCCBMG17-ELM-12-The-Lost-Sanctum,5-10,4,"Bracers of Defense
Spell Scroll of Blight
Spell Scroll of Speak With Dead
Spell Scroll of Bestow Curse",,"Late to the Party
We owe you one!
Black Listed by the Shield Trading Company","Late to the Party
If the characters became lost in the Cormanthor, took two long rests in the Rimwood this adventure outside of normal travel, or took a long rest in Grypht’s Sanctum give them the story reward “Late to the Party”. The consequences of this story reward will be made clear in a future adventure.

We owe you one!
Because things have gone awry when the characters get back to Elmwood, they cannot collect their 500 GP from the council or their free spellcasting service from Shayad. Give the PCs the “We owe you one!” story reward. They can exchange it for the gold and free spellcasting service in any future Elmwood adventure, provided that Shayad is alive.

Black Listed by the Shield Trading Company
If the characters made copies of or told people about the Shield Trading Company maps and scouting notes to the Varlaros Stones, give them the story reward “Black Listed by the Shield Trading Company.” This story reward gives them disadvantage on social rolls with Shield Trading Company members.
","Julnar's Mage Spellbook (or archmage, depending on statblock)
Cantrips fire bolt, light, mage hand, prestidigitation.
1st level detect magic, mage armor, magic missile, shield.
2nd level misty step, suggestion. 
3rd level counterspell, fireball, fly.
4th level greater invisibility, ice storm.
5th level cone of cold.

Julnar's Archmage Spellbook
Cantrips fire bolt, light, mage hand, prestidigitation, shocking grasp.
1st level detect magic, identify, mage armor, magic missile.
2nd level detect thoughts, mirror image, misty step.
3rd level counterspell, fly, lightning bolt.
4th level banishment, fire shield, stoneskin.
5th level cone of cold, scrying, wall of force.
6th level globe of invulnerability.
7th level teleport.
8th level mind blank.
9th level time stop. ","Elmwood, Cormanthor Forest",Misaligned (2),
CCC-BMG-18 ELM-1-3,The Battle of Elmwood,https://www.dmsguild.com/product/204922/CCCBMG18-ELM-13-The-Battle-of-Elmwood,5-10,4,"Staff of the Woodlands
Potion of Healing
Potion of Greater Healing
Potion of Fire Breath
Spell Scroll of Lesser Restoration",,Home Sweet Home,"Home Sweet Home
This character has been given a plot of land in Elmwood by the Elmwood Council to use as their permanent residence. This plot of land can be either sized for a comfortably large house in the main area of the town of Elmwood OR about an acre of bare land out in the farmlands for some crops or a ranch, a barn, and a farmhouse. Future Elmwood adventures will have more information about how to upgrade this residence.",,"Elmwood, Cormanthor Forest",Misaligned (3),"Antitoxin, Alchemist's fire
Property ownership: Elmwood plot"
CCC-BMG-34 ELM-2-1,Tendrils in the Fog,https://www.dmsguild.com/product/254008/CCCBMG34-ELM-21-Tendrils-in-the-Fog,5-10,4,"Portable Hole
Potion of Greater Healing",,"Friends of Tenebrosus
Friend of Mercy Hill","Friends of Tenebrosus
If the characters had a substantially positive interaction with the tiefling Tenebrous, then give the characters this story reward. Consequences will be detailed in a future Baldman Games Elmwood adventure.

Friend of Mercy Hill
For returning the wagon to the fledgling community of former cultists, escaped gladiatorial slaves, and reformed ruffians trying to make amends, you have their thanks. Provided that you work at least 2 hours a day in their farms and do not ask questions about their past lives and transgressions, you may enjoy low lifestyle for free while staying there.",,Elmwood,,
CCC-BMG-35 ELM-2-2,Mists of the Moonsea,https://www.dmsguild.com/product/254009/CCCBMG35-ELM-22-Mists-of-the-Moonsea,5-10,4,Necklace of Prayer Beads,"Necklace of Prayer Beads
Blessing (1), Curing (2), Favor (1)
The necklace has many nonmagical beads made from white pearls and moonstone.","Mourning Prince Ulatha
Alfred Lives
Lathai Lives","Mourning Prince Ulatha
If Prince Ulatha is killed or if the characters are overcome by the Marel, give them this story award. Consequences will be detailed in a future Baldman Games Elmwood adventure.

Alfred Lives
If the characters did not kill Alfred the Bone Eater, then give them this story award. Consequences will be detailed in a future Baldman Games Elmwood adventure.

Lathai Lives
If the characters did not kill Lathai the Heartseeker, then give them this story award. Consequences will be detailed in a future Baldman Games Elmwood adventure.",,"Elmwood, Boat/Water",,
CCC-BMG-36 ELM-2-3,Vestiges of Darkness,https://www.dmsguild.com/product/254011/CCCBMG36-ELM-23-Vestiges-of-Darkness,5-10,4,"Elven Chain (Chain Shirt)
Potion of Resistance (Psychic)
Potion of Growth
Spell Scroll of Reincarnate","Elven Chain (Chain Shirt)
This weird silvery-purple chain shirt is as thin and light as a linen shirt. It has a muted wave symbol of Istishia, the neutral god known as the Water Lord, patterned into the links. This must have once belonged to a sea elf.
",The good news is…,"The good news is…
… that you’re not still dead. Constable Mathnir had to send a rescue team to Northkeep to recover your brainless body and have the chief cleric of the Temple of Bane in Elmwood cast Resurrection. The cost for the process is 50 downtime days and 3,500 gold. If you do not have 3,500 gold, the Temple of Bane takes whatever gold you have. Not your finest hour.",,"Elmwood, Northkeep",,Takes place inside a Periapt of Mind Trapping (shenanigans)
CCC-BMG-MOON1-1,Moonshae Treasure Hunt,https://www.dmsguild.com/product/262080/CCCBMGMOON11-Moonshae-Treasure-Hunt,1-2,4 x 1 hour,Potion of Healing,,"Happi the Unhappy Oyster
Friend of the Rustfire Clan
A Dark Gem
Witwulf’s Spellbook
Twin Destinies
Ice Cold Killer
Capt. Bluto’s Blunderbuss
A Debt Owed in Silver","Happi the Unhappy Oyster
You have found a sentient talking oyster named Happi. He was once an unpleasant half-orc sailor but was cursed by a sea hag during a voyage. Happi doesn’t provide any game-mechanical benefits, but he would rather be moving around than stuck buried in sand for eternity.

Friend of the Rustfire Clan
You have assisted Winnow Rustfire on her mission to attain a red pearl. She now considers you a trusted friend. This story award may come into play in future Moonshae adventures from Baldman Games, particularly CCC-BMG-MOON3-1, 3-2, and 3-3.

A Dark Gem
You have recovered a mysterious gem named Goblinwrath for the Great Druid Antola Pilark. This gem carried with it an enchantment that caused goblins to become ferocious and feral while being biddable by the bearer. The origins of the gem are unknown, but Antola intends to find out and may call upon you to help her.

Witwulf’s Spellbook
You have retrieved the spellbook of Bronal Witwulf. The spellbook turned out to be an iron warhammer with an inscription that reads, “My Spellbook.” From the archives in Blodvahrer, you have learned that Bronal Witwulf was an adventurer infamous for acts of extreme strength and equally extreme lack of judgement. For a short time, his name featured prominently in the cautionary tales off Gnarhelm, but his fame has completely faded.

Twin Destinies
While visiting the town of Bloodvahrer you came across a pair of twins, Yrsa and Gulli, who have arcane abilities. Blodvahrer is not a hospitable place for arcane casters at this time, and when the twins approached you for help in leaving town, you gave it.
    Traveling with the twins, even if for a short while has shown you that their powers are quickly growing in strength, but that unfortunately their control of them is not growing at an equal speed. It did however give you the chance to witness an actual rain of frogs.
    The twins left your company in Olafstaad to be reunited with their father who has joined a group called the Initiates of Flame. What the future holds for these two is anyone’s guess.

Ice Cold Killer
You were involved in the killing of a villager of Blodvahrer. Legally it may be that you were provoked, but it has gained you a reputation for ruthlessness, bordering on murder.

Capt. Bluto’s Blunderbuss
This smoke powder musket was owned by the feared giff pirate, Capt. Boris Blutovich. Possessing this item has both advantages and disadvantages in the Moonshaes. The item is first and foremost a deadly weapon. It is a martial ranged weapon that does 1d12 piercing damage, weighs 10 lbs., has a range of 40/120, and has the loading, two-handed firearms, and ammunition properties.
    Because of the age of the powder, there is a 25% chance that a shot misfires. If a misfire occurs, the bullet doesn’t discharge and the powder flashes, blinding the shooter until the end of its next turn. There are three silvered shot bullets, and just enough smoke powder left for each one. These shots may only be used during a Moonshae Isle adventure. If the character plays an adventure outside of the Moonshae Isles, the powder goes bad and is no longer usable.
    This item comes from another world and works unlike any other. Ammo and powder cannot be crafted for it. Once the three shots are used, or the powder goes bad, it becomes a mundane object and may never be operated again. It cannot be duplicated magically. This is NOT a magic item.
    The blunderbuss is a recognized item in the Moonshae region. Even those who haven’t seen it, may recognize it based on local stories. At the DM’s discretion, it may evoke strong reactions of celebration, fear, or anger. Pirates of Silver’s Blade react with deadly intent.

A Debt Owed in Silver
You have killed Capt. Bluto and now the pirates of Silver’s Blade seek you out for revenge. Through a variety of underworld contacts and possibly divinations, they have identified as the killer. They won’t rest until you’re as dead as Capt. Bluto, but there may be ways to buy them off in the future.",,,,
CCC-BMG-MOON1-2,Mind the Missive,,,,,,,,,,,
CCC-BMG-MOON1-3,Heritage vs Kinship,,,,,,,,,,,
CCC-BMG-MOON1-4,The Brave of West Breasal ,,,,,,,,,,,
CCC-BMG-MOON1-5,The Wilderness Calls,,,,,,,,,,,
CCC-BMG-MOON2-1,Defenders of Caer Moray,https://www.dmsguild.com/product/266890/CCCBMGMOON21-Defenders-of-Caer-Moray,1-4,4,Weapon +1 (Dagger),"Weapon +1 (Dagger) (The Wolves' Claw)
This serrated blade has the visage of a hundred wolves claws all jumbled together with a wolf’s head for a pommel and a serrated edge to look like claws. You can also sense the emotions of wolves when you’re within 30 feet of them. If you concentrate on the dagger for a moment you ask the Dungeon Master what any one wolf in range is feeling. They will tell you the truth.","A Friend in Caer Moray
Defenders of Caer Moray","A Friend in Caer Moray
You have a friend in Caer Moray. Write their name down and what they do next to this reward. As long as you continue to spend one out of every 10 downtime days to maintain your friendship you can ask your friend for a favor once per game session when in Caer Moray.

Defenders of Caer Moray
Your deeds in Caer Moray are known to all and the citizens love you. You can have your weapons or ten pieces of ammunition silvered for 75 gp instead of 100 gp when in Caer Moray.",,,,T1 werewolf
