Adventure Code,Adventure Title,Level Range,APL,Runtime,Consumables,Magic Items,,Seed,Series,Other/Special,Author
DC-POA-CODEX-02,Bear In Mind ,1-4,3,4,Spell Scroll of Bless,Smoldering Armor (Studded Leather),Ring of Jumping,The Muttering Gnome,"Ursa Major
Part 2 of 3",,
DC-POA-CONMAR-08,"The Importance of Being Idol 
 ",1-4,3,4,Spell Scroll of Bless,Smoldering Armor (Studded Leather),Ring of Jumping,The Muttering Gnome,,,
DC-POA-GSP02-02H,The Priest of Caer-Dineval ,1-4,2,2,Spell Scroll of Bless,Smoldering Armor (Studded Leather),Ring of Jumping,The Muttering Gnome,"Factions Reawakened (Harpers)
Part 2 of 4",,
DC-POA-LEGIT-SV-02,The Shape of Silence ,1-4,3,4,Spell Scroll of Bless,Smoldering Armor (Studded Leather),Ring of Jumping,The Muttering Gnome,"Shrouded Vaults
Part 2 of 3",,
DC-POA-OGG-01,Where Good Adventurers Go to Die ,1-4,3,2-4,Spell Scroll of Bless,Smoldering Armor (Studded Leather),Ring of Jumping,The Muttering Gnome,"Cold and Lonelywood
Part 1 of 3",,
DC-POA-PM04,Losing your Mind ,1-4,2,2,Spell Scroll of Bless,Smoldering Armor (Studded Leather),Ring of Jumping,The Muttering Gnome,,,
DC-POA-TDG01-04,Despair In The Family ,1-4,4,4,Spell Scroll of Bless,Smoldering Armor (Studded Leather),Ring of Jumping,The Muttering Gnome,"Coins of the Elder Evil
Part 4 of 10",,
DC-POA-WC-02,Library of Lost Books ,1-4,3,2-4,Spell Scroll of Bless,Smoldering Armor (Studded Leather),Ring of Jumping,The Muttering Gnome,,,
DC-POA-CBB-02,Avarice Everlasting ,1-4,3,4,Potion of Healing,Smoldering Armor (Breastplate),Eversmoking Bottle,The Warmest Day,,,
DC-POA-CONMAR-03,"Unfrozen 
 ",1-4,3,2-4,Potion of Healing,Smoldering Armor (Breastplate),Eversmoking Bottle,The Warmest Day,"Oar's Rest Adventure
Part 2 of 3",,
DC-POA-EPO-2,The Lighthouse of Graybill ,1-4,4,4,Potion of Healing,Smoldering Armor (Breastplate),Eversmoking Bottle,The Warmest Day,,,
DC-POA-INGH-01,A Hot Time in the Cold Town Tonight ,1-4,3,4,Potion of Healing,Smoldering Armor (Breastplate),Eversmoking Bottle,The Warmest Day,,,
DC-POA-LEGIT-SV-01,The Coldlight Star ,1-4,3,4,Potion of Healing,Smoldering Armor (Breastplate),Eversmoking Bottle,The Warmest Day,"Shrouded Vaults
Part 1 of 3",,
DC-POA-WC-01,Love Finds a Way ,1-4,3,2-4,Potion of Healing,Smoldering Armor (Breastplate),Eversmoking Bottle,The Warmest Day,,,
DC-POA-CONMAR-11,The Dragonship Approaches ,5-10,8,4,Spell Scroll of Ceremony,Charlatan's Die,Brooch of Shielding,Winter Over,,,
DC-POA-DCAF11,Icing a Song ,5-10,8,4,Spell Scroll of Ceremony,Charlatan's Die,Brooch of Shielding,Winter Over,,,
DC-POA-EBAL-TT1,Bru in Trouble ,5-10,6,4,Spell Scroll of Ceremony,Charlatan's Die,Brooch of Shielding,Winter Over,,,
DC-POA-NBDD-01,"Ice, Ice, Birdie ",5-10,8,4,Spell Scroll of Ceremony,Charlatan's Die,Brooch of Shielding,Winter Over,,,
DC-POA-TDG01-11,DaleVision ,5-10,8,4,Spell Scroll of Ceremony,Charlatan's Die,Brooch of Shielding,Winter Over,"Coins of the Elder Evil
Part 0 of 0",,
DC-POA-TLOH-01,The Light of Hope ,5-10,8,4,Spell Scroll of Ceremony,Charlatan's Die,Brooch of Shielding,Winter Over,,,
DC-POA-CONMAR-13,Finding Harthin ,5-10,8,4,Potion of Climbing,Instrument of Scribing,Medallion of Thoughts,‘X’ Marks the Spot,"Frost Mandragora Diptych
Part 1 of 2",,
DC-POA-DCAF10,The Lute Run ,5-10,8,4,Potion of Climbing,Instrument of Scribing,Medallion of Thoughts,‘X’ Marks the Spot,,,
DC-POA-DRAGON-03,Battlefield of the Mind ,5-10,7,4,Potion of Climbing,Instrument of Scribing,Medallion of Thoughts,‘X’ Marks the Spot,"Reaching through Space and Time Series
Part 3 of 3",,
DC-POA-TCW-ACW-2,A Cry For Help ,5-10,8,4,Potion of Climbing,Instrument of Scribing,Medallion of Thoughts,‘X’ Marks the Spot,"A Cold War
Part 2 of 5",,
DC-POA-JGD-05,Shadows Under Ice ,1-16,,4,Spell Scroll of Produce Flame,Boots of the Winterlands,Enduring Spellbook,Special,"Special
Part 0 of 0","Vy’s backup spellbook contains mine notes and spells; continual flame, control water, erupting earth (Elemental Evil Player’s Companion), expeditious retreat, frost fingers (Icewind Dale: Rime of the Frostmaiden), move earth, stone shape.",
