Adventure Code,Adventure Title,Level Range,APL,Runtime,Consumables,Magic Items,,Fey Pacts,Story Awards,Author,Treasure (GP),Other/Special
WBW-DC-MEZZ,Take it to the Mezzanine!,5-10,8,4,"Potion of Hill Giant Strength, Elemental Gem (Yellow Diamond)","Ioun Stone of Protection, Guardian minor property","Cloak of Billowing, War Leader minor property",,,,0,Refers to invalid Hourly GP; Adventure awards Gem of Brightness as a consumable despite being on the Magic Item Table
WBW-DC-MIKE-01,"Red Door, Black Heart",1-4,3,4,Potion of Resistance (Fire),Greatclub of Warning,Talking Doll,,,,500,
WBW-DC-MIMIC-01,A Day in the Life of a Mimic,5-10,8,4,"Spell Scroll of Leomund's Tiny Hut, Spell Scroll of Alter Self, Keoghtom's Ointment","Ioun Stone of Protection, Hungry quirk, Guardian property","Cloak of Many Fashions, Metamorphic quick, Sentinel property (Shapechangers)",,"Mimic Whisperer, Looming Horror, Pact of the Mimic King, Lucius' Research Assignment",,5000,Magical Gift of Training: Survival
WBW-DC-MOM-01,One Moment,5-10,8,4,"Potion of Greater Healing, Potion of Water Breathing, Keoghtom's Ointment","Wand of Pyrotechnics, Language property (Netherese:Loross), Metamorphic quirk","Mantle of Spell Resistance, Guardian property, Frail quirk",,"Just As Planned, I Remember Now, Fugue It, The Right Quip At The Right Time",,3250,Magical Gift of Training: History
WBW-DC-MOM-02,One Chance,5-10,8,2-4,"Potion of Hill Giant Strength, Spellwrought Tattoo of Haste","Ring of Free Action, Harmonious property, Confident quirk",Elemental Gem (Yellow Diamond),"Fey Pact Items: Dwarven Thrower, Sentinel Property (Giant), Covetous quirk Tome of Leadership and Influence, waterbourne property, Loud quirk Figurine of Wondrous Power (Obsidian Steed), Guardian property, Hungry quirk","I Sphinx Therefore I Am, Made Anew",,5000,"Greater Fey Pact Items - Dwarven Thrower, Sentinel (giant) minor property, Covetous quirk, Tome of Leadership and Influence, Waterbourne minor property, Loud quirk, Figurine of Wondrous Power (Obsidian Steed), Guardian minor property, Hungry quirk"
WBW-DC-MOR-01,A Blight in Mordynia,1-4,3,4,"Potion of Healing, Potion of Greater Healing, Spell Scroll of Leomund's Tiny Hut",Instrument of the Bards (Doss Lute),Wand of Pyrotechnics,,,,500,
WBW-DC-MOR-02,Dark Miasma of the Mausoleum,1-4,4,4,"Potion of Advantage, Potion of Healing, Spell Scroll of Levitate",Cloak of Protection,Pole of Collapsing,,,,450,
WBW-DC-MPOP-01,Out on a Limb,1-4,3,2,Potion of Growth,Prosthetic Limb (Wood),,,,,200.1 + 10 per character,
WBW-DC-NBDD-01,Play the Game,5-10,8,4,"Bullets +1, Potion of Greater Healing, Spell Scroll of Detext Thoughts","Ioun Stone of Protection, Guardian minor property",Wand of Pyrotechnics,,,,4790,
WBW-DC-NBDD-02,15 Seconds to Curtain,1-4,3,2,Dust of Sneezing and Choking,Instrument of the Bards (Doss Lute),,,,,,
WBW-DC-NJ-COU-01,Dear Aery,1-4,3,4,"Potion of Hill Giant Strength, Potion of Greater Healing, Spell Scroll of Revivify","Feywild Shard, Guardian property","Wand of Smiles, Confident quirk",,,,500,
WBW-DC-NJ-COU-02,Aery's Resolve,5-10,8,4,Spell Scroll of Guardian of Nature,Moon Sickle +2,Staff of Adornment,,,,5000,Magical Gift of Training: Persuasion
WBW-DC-NJ-HOPE-01,Promises of Hope,5-10,8,4,"Dust of Sneezing and Choking, Keoghtom's Ointment, Elemental Gem (Emerald)","Hat of Vermin, Wicked property","Mantle of Spell Resistance, Harmonious property",,,,5000,
WBW-DC-NK-COU-02,,,,,,,,,,,,
WBW-DC-NTP-01,Cat's Paws,1-4,3,4,"Potion of Hill Giant Strength, Spell Scroll of Enhance Ability, Spellwrought Tattoo of Spirit Guardians","Boots of Striding and Springing, Guardian property","Talking doll, Language property (Sylvan)",,,,500,Magical Gift: Charm of Animal Conjuring (Cat Calling Command Seal)
WBW-DC-NUKE-01,"Magically Delicious, Possibly Rotten",1-4,3,2,Potion of Healing,Bag of Holding,,,,,60 + 50 per character,
WBW-DC-PAW-01,Sick as a Dog,5-10,8,4,"Potion of Resistance (Lightning), Potion of Animal Friendship, Spell Scroll of Nondetection","Bell Branch, Waterborne minor property","Talking Doll, Covetous Quirk",,,,4620,Magical Gift: Charm of Animal Conjuring
WBW-DC-PHP-01,Pot Luck!,5-10,8,4,Spell Scroll of Guardian of Nature,Moon Sickle +2,Staff of Adornment,,,,5000,
WBW-DC-PHP-02,A Compendium of Curious Curiosities,5-10,8,4,Crossbow Bolts +2,Amulet of Health,Armor of Gleaming (Scale),,,,5000,
WBW-DC-PHP-FLN01-01,,,,,,,,,,,,
WBW-DC-PHP-HOE-01,The Mill of Mar-Itez,1-4,4,2,Potion of Growth,"Pearl of Power, Hungry quirk",,,"Rumor Has It, A Failure of Empathy and Diplomacy",,500,Magical Gift of Training: Cook's Utensils
WBW-DC-PHP-HOE-02,"Something Borrowed, Something Brewed",5-10,8,4,"Potion of Healing, Potion of Resistance (Lightning)",Boots of Speed,Masquerade Tattoo,,"Heart of a Hero, Hairy Hearts Club, I Name You, Archfey!",,5000,
WBW-DC-PHP-LCL-01,A Cure for Freedom,5-10,8,2,"Scroll of Catnap, Scroll of Revivify, Potion of Greater Healing","Staff of the Woodlands, Language property (Sylvan)",,Fey Pact Item: Tome of Understanding,"Memory of the Canaries, The Spring Mother's Blessing",,5000,
WBW-DC-PHP-LCL-02,A Mystical Whimsy,5-10,8,2,Potion of Greater Healing,"Mantle of Spell Resistance, Strange Material property (Dryad Skin)",,"Fey Pact Item: +3 Hand Crossbow, Guardian",,,5000,
WBW-DC-PHP-ORNG-01,What Is Real?,5-10,8,4,"Spellwrought Tattoo of Revivify, Spell Scroll of Remove Curse, Dust of Disappearance","Talking Doll, Guardian property","Ioun Stone of Protection, Harmonious property",,"Prisoners of Happiness, Protectors of Happiness, Greg's Not So Crazy Friends, Grateful Harengon!, A Small Sacrifice, What Happened?",,5000,
WBW-DC-PHP-ORNG-02,Where do they Go?,5-10,8,4,"Spellwrought Tattoo of Beacon of Hope, Dust of Sneezing and Choking, Keoghtom’s Ointment","Pole of Collapsing, Compass property","Staff of Swarming Insects, Beacon property",Fey Pact Item: Staff of Power,"Prisoners of Happiness, A Demon Lord is Watching Me!, Knights of Happiness",,5000,Greater Fey Pact Item - Oblivia (Staff of Power)
WBW-DC-PHP-PHAN-01,If The Shoe Fits,5-10,8,4,"Spell Scroll of Remove Curse, Spell Scroll of Plant Growth, Spell Scroll of Speak with Animals","Boots of Speed, Guardian property",Cloak of Many Fashions. Guardian property,,Valuable Investigator,,5000,
WBW-DC-PHP-PHAN-02,Once Upon A Time,5-10,8,4,"Keoghtom's Ointment, Dust of Disappearance, Spell Scroll of Calm Emotions","Mantle of Spell Resistance, Language property (Sylvan)","Wand of Smiles, Beacon property","Fey Pact Item: +2 Half Plate, Strange Material property (glass)","Phantasia's Protector, Spirit Breaker, Knight of Stories",,5000,"Greater Fey Pact Item - Mythios (Half Plate +2), Strange Material (Glass) minor property"
WBW-DC-PHP-POLAR-01,Snow Ice,5-10,10,2,"Potion of Healing (Greater), Fey Pact Item: Spell Scroll of Simulacrum","Ioun Stone of Protection, Temperate property",,,"Cold Sweat, Caught Ilfyr's Eye",,5000,Greater Fey Pact Item - Spell Scroll of Simulacrum
WBW-DC-PHP-POLAR-02,You've Goat to be Kidding Me,1-4,3,4,Potion of water breathing,"Illuminators Tattoo, Guardian property","Cloak of Protection, Guardian property",,You Goat This!,,500,Magical Gift of Training: Perception
WBW-DC-PHP-REV-01,Lost in Reverie,1-4,3,2,Potion of Healing,Gem of Brightness,,,"Avalon's Gratitude, Feylost of Reverie",,500,"Trinkets
Magical Gift of Training: Language (Sylvan)"
WBW-DC-PHP-SPRING-01,A Moment of Serendipity,5-10,8,4,"Potion of Hill Giant Strength, Spell Scroll of Revivify","Mantle of Spell Resistance, Harmonious property","Wand of Pyrotechnics, Guardian property",,You Own a Piece of Kismet!,,5000,
WBW-DC-PHP-TCOM1,Of Festivals and Fiascoes,1-4,3,4,Potion of Greater Healing,Bag of Holding,"Wand of Pyrotechnics, Guardian property",,A Home In Alijis,,500,
WBW-DC-PHP-TCOM2,Of Toadstools and Tribulations,1-4,3,2,Potion of Resistance (Fire),"Slippers of Spider Climbing, Guardian property",,,"Hero of the Anay-Tao, For the Greater Good",,500,
WBW-DC-PHP-TCOM3,Of Death and Dawn,1-4,3,4,"Potion of Hill Giant Strength, Potion of Greater Healing","Cloak of Protection, Guardian property",,,"I'm the Elder Now, Pioneer of Padayon",,500,Fey Pact - Charm of Heroism
WBW-DC-PHP-TYM-01,i dreamt that i was falling,5-10,8,4,"Potion of Healing, Potion of Resistance (Psychic), Oil of Slipperiness","Bell Branch, Conscientious property","Cloak of Many Fashions, Guardian property",,"Gratitude of Longrest, Sparing Solis, Hold You Close Won't Let This Go, Else I Won't Come Back At All",,5000,"Trinkets: A mundane wooden chime, a stuffed toy, a recipe for pandesal carved on a flat rock"
WBW-DC-PHP-TYM-02,we woke up in the sky,5-10,9,4,"Spell Scroll of Revivify, Spell Scroll of Spirit Guardians, Potion of Growth",Silver Horn of Valhalla,"Wand of Pyrotechnics, War Leader property",,Longrest's Champions,,5000,
WBW-DC-PLS-01,Blade of Creation,5-10,8,4,,Mantle of Spell Resistance,,"Fey Pact Item: +3 Greatsword, Illusion property",Once a King or Queen in Palisia...,,4500,
WBW-DC-PUFF-01,Puffalo's Proposal,1-2,1,1,,"Sylvan Talon, Harmonious property","Hat of Vermin, Guardian property",,Fated,Bryan Mets,25,Trinket
WBW-DC-RKS-01,No Glory In Sleep,1-4,2,4,Potion of Greater Healing,Boots of Striding and Springing,Veteran's Cane,,,,450,
WBW-DC-ROBIN-01-2,Warmth of Winter,5-10,8,4,"Potion of Advantage, Potion of Watchful Rest, Potion of Greater Healing","Staff of Bird Calls, Guardian property","Ring of Free Action, Language property (Sylvan)",,,,0,Refers to invalid Hourly GP
WBW-DC-ROG-01,Imagination Lost,5-10,8,4,"Keoghtom's Ointment, Pixie Dust, Spell Scroll of Blink",Boots of Speed,Pole of Collapsing,,,,3500,
WBW-DC-ROG-02,A Giant Dilemma,5-10,9,4,"Potion of Hill Giant Strength, Potion of Resistance (Lightning), Spell Scroll of Catnap",Ring of Free Action,Veteran's Cane,,,,5000,
WBW-DC-ROG-03,Hope In A Medusas Eye,5-10,10,4,"Arrows +1, Potion of Advantage, Potion of Greater Healing",Cloak of Billowing,Horn of Valhalla (Silver),,,,5000,
WBW-DC-ROOK-1-1,The Care and Maintenance of the Rookery,1-4,2,4,"Potion of Healing, Scroll of Comprehend Languages",Figurine of Wondrous Power (Silver Raven),"Veteran's Cane, Beacon property",,,,280,
WBW-DC-ROOK-1-2,The Rookery: Rise of the Everplume,1-4,3,4,"Potion of Healing, Potion of Water Breathing, Spell Scroll of Burning Hands","Pearl of Power, Compass property",Talking Doll,,,,562,Can give out more gold than Tier allows depending on rolls
WBW-DC-ROOK-1-3,The Rookery: City of the Dead,1-4,4,4,"Potion of Resistance (Necrotic), Spell Scroll of Leomund's Tiny Hut, Spellwrought Tattoo of Charm Person","Cloak of Protection, Guardian property","Masquerade Tattoo, Hungry property",,,,491,
WBW-DC-ROOK-1-4,The Rookery: Long Live the Goblins,1-4,4,4,"Potion of Animal Friendship, Potion of Greater Healing",Bracers of Archery,"Staff of Birdcalls, War Leader property",,,,473,
WBW-DC-ROOK-2-1,Rapid Resettlement in the Rookery,5-10,8,4,Potion of Healing,"Elven Chain, Sentinel property (goblinoids)","Hat of Vermin, Waterborne property",,,,1480,
WBW-DC-ROOK-2-2,The Rookery: Into the Velarium,5-10,8,4,"Potion of Greater Healing, Potion of Growth","Boots of Speed, Song Craft property","Cloak of Billowing, Language property (Sylvan)",,,,4650,
WBW-DC-ROOK-2-3,The Rookery: The Court of the Crown,5-10,8,4,"Potion of Greater Healing, Spell Scroll of Tenser's Floating Disk",Bracers of Defense,"Cloak of Many Fashions, Gleaming property",,,,4400,
WBW-DC-ROOK-3-1,The Rookery: High Kaldir,5-10,8,4,"Potion of Comprehension, Potion of Greater Healing",Figurine of Wondrous Power (Ivory Goat),"Pipe of Smoke Monsters, Delver property",,,,4500,
WBW-DC-ROOK-3-2,The Rookery: Frogs of War,5-10,8,4,"Potion of Animal Friendship, Potion of Greater Healing","Staff of the Woodlands, Key property",Pole of Collapsing,,,,4350,
WBW-DC-ROOK-3-3,The Rookery: The Crook in the Rook,5-10,8,4,"Potion of Greater Healing, Potion of Growth","Staff of Swarming Insects, Language property (Slaad)",Wand of Pyrotechnics,,,,4800,
WBW-DC-SO-01,The Labyrinth of Forgotten Memories,1-4,1,4,Potion of Healing,"Bag of Holding, Gleaming property","Masquerade Tattoo, Guardian property",,Boss Fuzzy Tobey's calling card,,500,
WBW-DC-SPAMMY-01,Flowers Have Feelings,5-10,8,4,"Spell Scroll of Enthrall, Spell Scroll of Hypnotic Pattern, Spell Scroll of Summon Fey",Elven Chain,,,"The Flower Stood Tall!, The Flower Has Been Cut!, Farewell My Sweet Flower..., Play Your Part!",,5000,Adventure Code changed
WBW-DC-SQT-01,Hollyphant Love Medley,1-4,3,4,"Oil of Slipperiness, Potion of Fire Breath, Spell Scroll of Calm Emotions","Pearl of Power, Guardian property","Wand of Pyrotechnics, Unbreakable property",,,,500,
WBW-DC-SSM-01,The Grimm Reality,5-10,8,4,"Oil of Slipperiness, Potion of Fire Breath, Potion of Growth",Ioun Stone of Protection,Masquerade Tattoo,"Greater Fey Pact: Wealth (9,800gp)",,,2000.02 + 10 per character,
WBW-DC-SUNLIT-04,Blank Stare,5-10,8,4,Crossbow Bolts +2 (5),"Amulet of Health, Delver property",Armor of Gleaming (Scale),,"Sunlit Pistolero, Strange Exposure",,3500,"Individual adventures not available separately.
Awards an open-ended Magical Gift."
WBW-DC-SUNLIT-05,Travelogue,5-10,8,4,"Spell Scroll of Ashardalon's Stride, Spell Scroll of Nathair's Mishief, Spell Scroll of Longstrider, Potion of Greater Healing","Boots of Speed, Harmonious property",Cloak of Billowing,Fey Pact Item: Clockwork Amulet,,,5000,Individual adventures not available separately.
WBW-DC-SUNLIT-06,Township,5-10,8,4,"Potion of Growth, Potion of Resistance (Necrotic), Potion of Greater Healing","Staff of the Woodlands, Compass property",Wand of Pyrotechnics,"Fey Pact Item: Manual of Quickness of Action OR Glaive +3, Unbreakable property",,,3900,Individual adventures not available separately.
WBW-DC-TAZ01,I Know What Ewe Did Midsummer,5-10,8,4,Spell Scroll of Spirit Guardians,Elven Chain,Pole of Collapsing,,,,600 + 100 per character,"Refers to invalid Hourly GP, but awards gold in adventure text"
WBW-DC-TBLCMB-03,The Black Lily Contract,1-4,3,2,Spellwrought Tattoo of Summon Fey,"Pearl of Power, Language property (Sylvan)",,,,,500,
WBW-DC-TCW-AVG-1,Missing Yeux,5-10,8,4,Potion of Healing,Staff of the Woodlands,Cloak of Billowing,,,,5000,
WBW-DC-TCW-AVG-2,Unbreak the H'earth,5-10,8,4,Potion of Healing,Mantle of Spell Resistance,Talking Doll,,,,5000,
WBW-DC-TEN-01 ,Two to Tengu,1-4,3,4,Potion of Hill Giant Strength,Figurine of Wondrous Power (Silver Raven),Pole of Collapsing,,,,0,
WBW-DC-TEN-02 ,Festival of Fyre,5-10,8,4,"Potion of Animal Friendship, Potion of Healing",Horn of Valhalla (Silver),Cloak of Many Fashions,,,,,Trinkets
WBW-DC-TEN-03,Korama-monogatari - The Tale of Korama,5-10,8,4,Potion of Resistance (Fire),"Elven Chain, Temperate property","Veteran's Cane, Guardian property",Fey Pact Item: Tome of Understanding,"Korama-no-Sohei: Archfey Pact,Tome of Understanding",,,
WBW-DC-THAL-01,Heartfire Lost,1-4,3,4,"Potion of Healing, Potion of Water Breathing, Spell Scroll of Calm Emotions",Feywild Shard,Veteran's Cane,,,,500,
WBW-DC-THAL-02,Awakened Song,1-4,3,4,"Oil of Slipperiness, Potion of Greater Healing, Spell Scroll of Locate Animals or Plants","Nature's Mantle, Language property (Aquan)",Pole of Collapsing,,,,500,
WBW-DC-TIC-01,Mushrooms and Malfunctions: A Journey into the Caverns,1-4,3,4,"Oil of Slipperiness, Potion of Healing, Spell Scroll of Alter Self","Feywild Shard, Painful property","Hat of Vermin, Delver property",,,,500,
WBW-DC-TID-01,Witchlight Insecurity,1-4,3,4,"Spell Scroll of Silent Image, Spell Scroll of Enhance Ability, Spell Scroll of Protection from Energy",Slippers of Spider Climbing,Wand of Smiles,,Golden Witchlight Carnival Ticket,,0,"Refers to invalid Hourly GP

Offers open-ended Magical Gift of Training"
WBW-DC-TLRMB-02,The Last Resort,1-4,2,2,Potion of Healing,"Cloak of Protection, Guardian property",,,,,500,
WBW-DC-TMP-01,Buck Wild,1-4,3,2,"Potion of Healing, Spell Scroll of Comprehend Languages, Spell Scroll of Expeditious Retreat","Nature's Mantle, War Leader property",,,Dyul's Remembrance,,500,Trinket: Repairing Wine Bottle
WBW-DC-TMP-02,Bucking the Trend,5-10,7,2,"Potion of Greater Healing, Potion of Hill Giant Strength, Potion of Water Breathing","Elven Chain, Strange Material property (vines)",,,,,5000,Trinket: Feast Invite
WBW-DC-TMP-03,The Buck Stops,5-10,9,2,"Potion of Greater Healing, Potion of Resistance (Necrotic), Spell Scroll of Daylight",Bell Branch,,Fey Pact Item: Oathbow,,,5000,"Trinket: Groovy Glasses
Greater Fey Pact Item: Oathbow (Selestria)"
WBW-DC-TREY-01,Mistress Taken!,5-10,8,4,"Spell Scroll of See Invisibility, Potion of Comprehension, Keoghtom's Ointment","Wand of Pyrotechnics, Language property (Sylvan)","Mantle of Spell Resistance, Guardian property",Fey Pact Item: Scimitar of Speed,"Lord Trey's Chosen, Jeny's Special Guest, Dark Dragon's Reprisal, Dark Dragon's Enmity",,5000,
WBW-DC-TRI-01,Strike a Pose,1-4,3,2,Potion of HIll Giant Strength,Slippers of Spider Climbing,,,,,500,
WBW-DC-TRI-02,Nothing Ventured,1-4,3,2,Potion of Climbing,Bag of Holding,,,"Fey Title, Fey Curse",,500,
WBW-DC-TST-01,Color in Light,5-10,8,2-4,,"Bell Branch, Guardian property",Cloak of Many Fashions,,,,1000,
WBW-DC-UCON-01,The Party that Split,1-4,3,4,Spell Scroll of Faerie Fire,Party Hat of Disguise ,Rope of Mending,,,,500,
WBW-DC-UCON-02,Have You No Heart?,5-10,8,4,"Potion of Greater Healing, Pixie Dust, Feather Token (Feather Fall)","Boots of Speed, Illusion property","Cloak of Many Fashions, Temperate property",,,,5000,
WBW-DC-VACONS-01,Welcome to Fablerise,1-4,1,2,Potion of Growth,Prosthetic Limb,,,Bird in the Hand,,120,
WBW-DC-VMT-01,Tale As Old As Time,1-4,3,4,"Potion of Growth, Spell Scroll of Intellect Fortress, Spell Scroll of Silence",Feywild Shard,"Wand of Smiles, Strange Material property (book)",,,,500,Magic Mirror (trinket)
WBW-DC-VMT-02,Court of the Owl King,5-10,8,4,"Potion of Greater Healing, Potion of Fire Breath, Potion of Animal Friendship","Boots of Speed, Guardian property","Hat of Vermin, Sentinel property (Summoned Vermin)",,,,5000,
WBW-DC-WRT-00,Writer's Block,5-10,6,2,Spell Scroll of Stoneskin,Ruby of the War Mage,,,,,5000,
WBW-DC-WSF-1,,,,,,,,,,,,
WBW-DC-ZEP-T1S1,The Dragonbard's Christmas Carol,1-4,3,2,Keoghtom's Ointment,"Pot of Awakening, Guardian property","Instrument of the Bards (Doss Lute), Illusion property",,,,500,"Individually only available as a Fantasy Grounds Mod.
PDF Available in the WBW-DC-ZEP-T2S1-8 anthology.

Refers to invalid Hourly GP, but awards gold in adventure text"
WBW-DC-ZEP-T1S2,The Court of Zep,1-4,3,2,"Potion of Advantage, Perfume of Bewitching",Feywild Shard,"Clothes of Mending, Gleaming property","Greater Fey Pact: Title
Greater Fey Pact: Wealth (10,000gp)
Greater Fey Pact: Time Displacement
Lesser Fey Pact: Spell Casting","Fey Kinship, Charm of Darkvision, Charm of Heroism, Charm of Animal Conjuring, Real Baller Template, Saturday Night Fever, Lord of Zep, Fey's Most Talented, Check This Out, Charm of Vitality, Charm of Feather Falling, Mounted Zepitarian, Unicorn Alliance, Deputy Zepitarian, Uncommon Zepitarian Template, Rare Zepitarian Template, Very Rare Zepitarian Template, Legendary Zepitarian Template",,70 each,"Adventure suggests an additional 'appropriate' gold but does not actually award it.

Offers open-ended Magical Gift of Training"
WBW-DC-ZEP-T1S3,Zep Sightseeing,1-4,3,2,Dust of Sneezing and Choking,Nature's Mantle,,"Greater Fey Pact: Title
Greater Fey Pact: Wealth (10,000gp)
Greater Fey Pact: Time Displacement
Lesser Fey Pact: Spell Casting","Fey Kinship, Charm of Darkvision, Charm of Heroism, Charm of Animal Conjuring, Real Baller Template, Saturday Night Fever, Lord of Zep, Fey's Most Talented, Check This Out, Charm of Vitality, Charm of Feather Falling, Mounted Zepitarian, Unicorn Alliance, Deputy Zepitarian, Uncommon Zepitarian Template, Rare Zepitarian Template, Very Rare Zepitarian Template, Legendary Zepitarian Template",,0,"Refers to invalid Hourly GP, suggests 'appropriate' gold but does not actually award it.

Offers open-ended Magical Gift of Training"
WBW-DC-ZEP-T1S4,Mall of Zep,1-4,3,2,Potion of Growth,Bag of Holding,,"Greater Fey Pact: Title
Greater Fey Pact: Wealth (10,000gp)
Greater Fey Pact: Time Displacement
Lesser Fey Pact: Spell Casting","Fey Kinship, Charm of Darkvision, Charm of Heroism, Charm of Animal Conjuring, Real Baller Template, Saturday Night Fever, Lord of Zep, Fey's Most Talented, Check This Out, Charm of Vitality, Charm of Feather Falling, Mounted Zepitarian, Unicorn Alliance, Deputy Zepitarian, Uncommon Zepitarian Template, Rare Zepitarian Template, Very Rare Zepitarian Template, Legendary Zepitarian Template",,0,"Refers to invalid Hourly GP, suggests 'appropriate' gold but does not actually award it.

Offers open-ended Magical Gift of Training

Offers multiple Lesser Fey Pacts for gold spent"
WBW-DC-ZEP-T2S1,Peekaboo,5-10,6,2,"Spell Scroll of Speak with Plants, Potion of Greater Healing, Potion of Hill Giant Strength","Bell Branch, Language property (Giant)",,"Greater Fey Pact: Title
Greater Fey Pact: Wealth (10,000gp)
Greater Fey Pact: Time Displacement
Lesser Fey Pact: Spell Casting","Fey Kinship, Charm of Darkvision, Charm of Heroism, Charm of Animal Conjuring, Real Baller Template, Saturday Night Fever, Lord of Zep, Fey's Most Talented, Check This Out, Charm of Vitality, Charm of Feather Falling, Mounted Zepitarian, Unicorn Alliance, Deputy Zepitarian, Uncommon Zepitarian Template, Rare Zepitarian Template, Very Rare Zepitarian Template, Legendary Zepitarian Template, Eesop's Wheat Fields, Chaos Chimera, Happy Harpy's Dairy, High Herbs, Infernal Tomatoes, Lettuce Licorice, Zuggtmoy's Mushrooms, Cold Ovens, Dorothy's Diary, Princess Petunia, Last Unicorn, Snazzy the Snail, Stinky the Lonely Dragon, Naggy's Negotiation, Archie the Archdruid, Befriending Artor Morin",,0,"Individual adventures not available separately.

Refers to invalid Hourly GP, suggests 'appropriate' gold but does not actually award it.

Offers open-ended Magical Gift of Training

Offers multiple Lesser Fey Pacts for common items not listed in treasure section"
WBW-DC-ZEP-T2S2,Chimera Concoction,5-10,6,2,"Potion of Greater Healing, Spell Scroll of Maximilian's Earthen Grasp, Spell Scroll of Tongues","Staff of the Woodlands, Delver property",,"Greater Fey Pact: Title
Greater Fey Pact: Wealth (10,000gp)
Greater Fey Pact: Time Displacement
Lesser Fey Pact: Spell Casting","Fey Kinship, Charm of Darkvision, Charm of Heroism, Charm of Animal Conjuring, Real Baller Template, Saturday Night Fever, Lord of Zep, Fey's Most Talented, Check This Out, Charm of Vitality, Charm of Feather Falling, Mounted Zepitarian, Unicorn Alliance, Deputy Zepitarian, Uncommon Zepitarian Template, Rare Zepitarian Template, Very Rare Zepitarian Template, Legendary Zepitarian Template, Eesop's Wheat Fields, Chaos Chimera, Happy Harpy's Dairy, High Herbs, Infernal Tomatoes, Lettuce Licorice, Zuggtmoy's Mushrooms, Cold Ovens, Dorothy's Diary, Princess Petunia, Last Unicorn, Snazzy the Snail, Stinky the Lonely Dragon, Naggy's Negotiation, Archie the Archdruid, Befriending Artor Morin",,0,"Individual adventures not available separately.

Refers to invalid Hourly GP, suggests 'appropriate' gold but does not actually award it.

Offers open-ended Magical Gift of Training

Offers multiple Lesser Fey Pacts for common items not listed in treasure section"
WBW-DC-ZEP-T2S3,"Up, Up and Away",5-10,7,2,"Dust of Sneezing and Choking, Potion of Greater Healing, Dust of Disappearance","Bracers of Defense, Illusion property",,"Greater Fey Pact: Title
Greater Fey Pact: Wealth (10,000gp)
Greater Fey Pact: Time Displacement
Lesser Fey Pact: Spell Casting","Fey Kinship, Charm of Darkvision, Charm of Heroism, Charm of Animal Conjuring, Real Baller Template, Saturday Night Fever, Lord of Zep, Fey's Most Talented, Check This Out, Charm of Vitality, Charm of Feather Falling, Mounted Zepitarian, Unicorn Alliance, Deputy Zepitarian, Uncommon Zepitarian Template, Rare Zepitarian Template, Very Rare Zepitarian Template, Legendary Zepitarian Template, Eesop's Wheat Fields, Chaos Chimera, Happy Harpy's Dairy, High Herbs, Infernal Tomatoes, Lettuce Licorice, Zuggtmoy's Mushrooms, Cold Ovens, Dorothy's Diary, Princess Petunia, Last Unicorn, Snazzy the Snail, Stinky the Lonely Dragon, Naggy's Negotiation, Archie the Archdruid, Befriending Artor Morin",,0,"Individual adventures not available separately.

Refers to invalid Hourly GP, suggests 'appropriate' gold but does not actually award it.

Offers open-ended Magical Gift of Training

Offers multiple Lesser Fey Pacts for common items not listed in treasure section"
WBW-DC-ZEP-T2S4,How's the Weather Up There,5-10,7,2,"Potion of Greater Healing, Oil of Slipperiness, Dust of Dryness","Ioun Stone of Protection, Unbreakable property","Pot of Awakening, Conscientious property","Greater Fey Pact: Title
Greater Fey Pact: Wealth (10,000gp)
Greater Fey Pact: Time Displacement
Lesser Fey Pact: Spell Casting","Fey Kinship, Charm of Darkvision, Charm of Heroism, Charm of Animal Conjuring, Real Baller Template, Saturday Night Fever, Lord of Zep, Fey's Most Talented, Check This Out, Charm of Vitality, Charm of Feather Falling, Mounted Zepitarian, Unicorn Alliance, Deputy Zepitarian, Uncommon Zepitarian Template, Rare Zepitarian Template, Very Rare Zepitarian Template, Legendary Zepitarian Template, Eesop's Wheat Fields, Chaos Chimera, Happy Harpy's Dairy, High Herbs, Infernal Tomatoes, Lettuce Licorice, Zuggtmoy's Mushrooms, Cold Ovens, Dorothy's Diary, Princess Petunia, Last Unicorn, Snazzy the Snail, Stinky the Lonely Dragon, Naggy's Negotiation, Archie the Archdruid, Befriending Artor Morin",,0,"Individual adventures not available separately.

Refers to invalid Hourly GP, suggests 'appropriate' gold but does not actually award it.

Offers open-ended Magical Gift of Training

Offers multiple Lesser Fey Pacts for common items not listed in treasure section"
