Module Code,Adventure Title,Level Range,"Level, Optimized for",Runtime,Consumables,Magic Items,,Spellbooks,Story Awards,Author,Treasure (GP),,
FR-DC-PANDORA-JWEI-S2-06,Hope,17-20,18,4,,,,,,JWei伟,,,
FR-DC-PANDORA-JWEI-S2-07,Moonshire,17-20,18,4,,,,,,JWei伟,,,
FR-DC-PHP-CKA1,In Slumber's Keep,5-10,8,4,"Spell Scroll of Beacon of Hope, Spell Scroll of Crusader's Mantle, Spell Scroll of Call Lightning","Necklace of Prayer Beads (Blessing x3, Wind Walking x1, Summons x1, Favor x1), Harmonious property","Dread Helm, Guardian property",,,Miguel Luis de Jesus,5000,,
FR-DC-PHP-INFRN01-01,The Hidden Sanctum,5-10,8,4,"Dried Leech, Spell Scroll of Remove Curse, Restorative Ointment","Figurine of Wondrous Power (Golden Lions), Guardian property","Chest of Preserving, Language property (Netherese)",,"Faith Restored, Ritual Cube Recovered, Ritual Cube Lost, Hatemaster Killed",Elijah Vince Aguila,4800,Drow Poison (Injury),Drow Poison not a valid mundane treasure
FR-DC-PHP-PEST-01,Pest Control,1-4,3,4,"Potion of Climbing, Spell Scroll of Comprehend Languages, Potion of Healing","Armor of Fungal Spores (Breastplate), Strange Material property (phase spider)","Moon-Touched Scimitar, Language property (Undercommon)",,"Pest Extermination, No Web's Left Unspinned",Elijah Vince Aguila,500,,
FR-DC-PHP-PEST-02,Pest Infestation,5-10,8,4,"Spellwrought Tattoo of Haste, Potion of Acid Resistance, Oil of Slipperiness","Lash of Immolation, Sentinel property (Fiends)","Dread Helm, War Leader property",,"Professional Pest Exterminator, Pest Kill of the Year, Pest Kill of the Decade",Elijah Vince Aguila,5000,,
FR-DC-PNKE-01,Vie for the Eye,11-16,13,4,Spellwrought Tattoo of Intellect Fortress,"Moon Sickle +3, Guardian property","Mystery Key, Delver property",,"Charm of the Void, Hero of Ranguri, Tainted by Ihbar",Duncan Gan,50000,Robes (6),
FR-DC-QLA-01,Mel's Pit,11-16,13,4,"Potion of Gaseous Form, Chime of Opening, Potion of Superior Healing",Carpet of Flying (4x6),Chest of Preserving,,Lorekeeper,"Mike Wokasch, Winter Wokasch",20814,,No award summary
FR-DC-QLA-02,The Ceremony,11-16,13,4,"Potion of Superior Healing, Potion of Heroism, Keoghtom's Ointment",Robe of Stars ,Rope of Mending,,,"Mike Wokasch, Winter Wokasch",59200,,"No award summary.
Text awards a Charlatan's Die not mentioned in handout.
Awards too much gold."
FR-DC-RDP-01,Vault of the Drow Risen,17-20,18,2,"Potion of Superior Healing, Scroll of Protection (Humanoids)","Wand of Polymorph, Harmonious property",,,Charm of Ruin,Johnny Smith,50000,,"Not sold separately, part of two adventure bundle.
No separate award summary."
FR-DC-RDP-02,The Great Fane of Lolth,17-20,18,2,"Potion of Invulnerability, Spellwrought Tattoo of Darkness","Tentacle Rod, Harmonious property",,,"Charm of Animal Conjuring, True Darkness, Lolth's Gifts",Johnny Smith,50000,,"Not sold separately, part of two adventure bundle.
No separate award summary."
FR-DC-REIN-VR-01,The Pale Steed,5-10,10,4,"Potion of Comprehension, Potion of Greater Healing","Vicious Scimitar, Songcraft property","Cloak of Many Fashions, Guardian property",,"Collusion with the Silver-tongued Fox, The Truth Prevails, Pale Steed Released, Pale Steed Secured, Lady Catheryn Thadeon Survived, Lady Catheryn Thadeon Perished",Von Ryan Maicle,5000,,"Potions awarded in adventure text, not listed in Reward Summary or player handout"
FR-DC-RFJK-01,Punny You Ask,1-4,3,2,Paper Bird,"Ring of Mind Shielding, Muttering property",,,,"Rebecca Farrar, Jeff Kuta",240,,
FR-DC-RPSG-09,Ruckus at the Reception,1-4,1,2,Potion of Greater Healing,"Boots of Elvenkind, Waterborne property",,,,Charmaine Ong,250,,
FR-DC-RPSG-10,Chaos at the Convention,1-4,3,2,Elemental Gem (Emerald),"Winged Boots, Guardian property","Cast-off Plate Armor, Beacon property",Mage,,Jason Koh,250,"Breastplate, Longsword, Poisoner's Kit, Scimitar",
FR-DC-RPSG-11,Murder at the Mansion,1-4,3,2,"Potion of Healing, Spell Scroll of Disguise Self, Spell Scroll of False Life","Sentinel Shield, Song Craft property","Cape of Billowing, Guardian property",,,Shane Yeow,250,"Alchemist's Supplies, Antitoxin (2), Book (2), Bullseye Lantern, Explorer's Pack, Hand Crossbow, Lute, Poisoner's Kit, Rapier, Viol",
FR-DC-RPSG-12,Havoc at the Hideout,1-4,3,2,"Potion of Climbing, Potion of Comprehension, Potion of Healing","Necklace of Adaptation, Harmonious property","Cloak of Many Fashions, Guardian property",,,Charmaine Ong,250,"Acid (2), Alchemist's Fire (2), Blowpipe, Book (4), Burglar's Pack (5), Dagger (3), Hand Crossbow, Thieves' Tools",
FR-DC-RWIE-01,Divine Chance - Always Bet on Red,1-4,2,4,"Spell Scroll of Detect Magic, Spell Scroll of Sleep, Potion of Healing",Periapt of Wound Closure,Hat of Wizardry,,,"Sean ""Ogre"" Nolan",175 + 75 per character,,
FR-DC-RWIE-02,Of Books and Men - An Overdue Adventure,5-10,8,4,"Spell Scroll of Dispel Magic, Spell Scroll of Knock, Spell Scroll of Enhance Ability","Bracers of Defense, Blissful property","Chest of Preserving, Waterborne property",Archmage,,Alexis Paige,5000,,
FR-DC-RWIE-03,Circus Berserkus,11-16,13,4,Potion of Fire Giant Strength,"Elven Thrower, Loud property","Dread Helm, Language property (Abyssal)",,Blessing of Magic Resistance,"Noah Grand, Bryn Keeling",50000,,
FR-DC-SAC-07,Haunting in Gloomwood Cemetery,1-4,3,2,Potion of Greater Healing,"Bag of Holding, Language property (Netherese)",,,,Kelly Samuelson,250,,
FR-DC-SAERLOON-00,"Darkhouse, Deliverance",11-16,13,4,"Spellwrought Tattoo of Dispel Magic, Charm of the Sage","Robe of Stars, Language property (Turmic)","Orb of Direction, Delver property",,Saerloonian Nobility,Dennis R Hall,50000,,
FR-DC-SAERLOON-01,Eyes on the Pies,1-4,3,4,Potion of Greater Healing,"Cloak of Protection, Strange Material property (lace)","Chest of Preserving, Beacon property",,"A Slice of Figgy Gratitude, Sweet Patronage, Zhentarim Apple Corps Sponsorship",Dennis R Hall,500,,
FR-DC-SAERLOON-02,Mincemeat,1-4,3,4,"Perfume of Bewitching, Potion of Healing, Spellwrought Tattoo of Shield of Faith","Armor of Fungal Spores (Breastplate), Strange Material property (rotting bark)","Hat of Wizardry, Frail property",Apprentice Wizard (x2),"Nutty as a Fruit Cake, Stoneshapers Guild Membership, Sweet Patronage, Zhentarim Apple Corps Sponsorship",Dennis R Hall,500,,
FR-DC-SAERLOON-03,Cheese Market Collapse,1-4,3,4,"Potion of Healing, Spell Scroll of Bane, Walloping Sling Bullet (x5)","Insignia of Claws, Covetous property","Moon-Touched Rapier, Gleaming property",,"Everything is Better with Cheese, Sweet Patronage, Zhentarim Apple Corps Sponsorship",Dennis R Hall,362.7,"Holy Symbol (2), Block and Tackle, Chain Mail (2), Chain Shirt (2), Crowbar (4), Fine Clothes (2), Halberd (2)",
FR-DC-SAERLOON-04,Astringent No More,1-4,3,4,Spellwrought Tattoo of Speak with Plants,"Eyes of Minute Seeing, Unbreakable property","Mystery Key, Loud property",Oreioth,"In Astringency's Honor, Sweet Patronage, Zhentarim Apple Corps Sponsorship",Dennis R Hall,500,,
FR-DC-SAERLOON-05,That's a Lot of Flambe,1-4,3,4,Dust of Corrosion,"Eyes of the Eagle, Compass property","Cast-off Studded Leather, Language property (Halfling)",,"Cherries and Brandy, Sweet Patronage, Zhentarim Apple Corps Sponsorship",Dennis R Hall,500,"Alchemist's Fire (2 ea), Alchemist's Supplies, Herbalism Kit, Poisoner's Kit, Chain Mail (3), Shield (3), Battleaxe (3), Javelin (3), Splint Mail, Longsword, Shortsword, Heavy Crossbow, Bolts (10)",
FR-DC-SAERLOON-06,The Tremblers,5-10,8,4,"Arrow +1 (x5), Potion of Greater Healing, Spell Scroll of Revivify","Cli Lyre, Strange Material property (bone, flesh, breath)","Lock of Trickery, Muttering property",,A Trembling Recruit,Dennis R Hall,4530,,
FR-DC-SAERLOON-07,A Gaggle of Gates,5-10,8,4,"Potion of Cold Resistance, Potion of Psionic Fortitude, Spellwrought Tattoo of Bestow Curse","Belt of HIll Giant Strength, Temperate property","Horn of Silent Alarm, Confident property",,Zhentarim Apple Corp Sponsorship,Dennis R Hall,4525,,
FR-DC-SAERLOON-08,Saberwing,5-10,8,4,"Mind Crystal (Distance), Keoghtom's Ointment (5 doses), Potion of Animal Friendship","Elven Chain, Sentinel property (Demons) OR Bracers of Celerity, Waterborne property OR Ioun Stone of Sustenance, Guardian property","Prosthetic Limb, Confident property",,"Urg's Gratitude, Zhentarim Apple Corp Sponsorship",Dennis R Hall,4000,,
FR-DC-SCRC-01,Scar City,5-10,8,4,"Spell Scroll of Haste, Spellwrought Tattoo of Thunder Step, Oil of Slipperiness","Fulminating Treatise, Unbreakable property","Horn of Silent Alarm, War Leader property",Archmage,,Darryl Ho,5000,"Acid (4), Alchemist's Supplies, Glass Bottle (4), Breastplate, Brewer's Supplies, Greatsword, Half Plate, Poisoner's Kit, Scholar's Pack, Tinker's Tools, Yew Wand",
FR-DC-SCROG-01,"Pretty Teeth, Sharp Teeth",1-2,1,1,,"Dread Helm, Beacon property","Sylvan Talon, Songcraft property",,"Blue Sigil Feud, Ogre Friend",Jonathan Bennett,25,,
FR-DC-SCROG-02,Bad Weather Over Longsaddle,1-2,1,1,,"Instrument of Illusions, Blissful property","Shield of Expression, Metamorphic property",,"Gogan Brothers Gang Feud, Watch the Skies",Jonathan Bennett,20,Net (5),
FR-DC-SCROG-03,Showdown At Starmetal Hills,1-2,1,1,,"Lock of Trickery, Unbreakable property","Silvered Light Crossbow, Sentinel property (Jackelweres)",,"Gogan Brothers Gang Feud, Battletoad","Jonathan Bennett, Karianne Fog Heen",25,Trinkets,
FR-DC-SCROG-LGD-01,Legend of the Hellish Hay Bale,5-10,8,4,"Keoghtom's Ointment (4 doses), Potion of Fire Resistance, Spellwrought Tattoo of Phantom Steed","Vicious Trident, Beacon property","Cast-off Breastplate, Strange Material property (skillets)",,"Chili Gourmet, Emmert's Appreciation, Glockeberg Hunter's License","Bryan Mets, Jonathan Bennett",5000,Book,
FR-DC-SCROOGE-001,Funny Bunny Business,1-4,2,2,,Pipes of the Sewers,"Tankard of Plenty, Cloak of Many Fashions, Staff of Flowers",,,R.P. Marsh,,,"Published with code DC-FG-SCROOGE-001
Pipes of the Sewers not a valid reward at time of publishing.
Awards more than one common item, none of which are a valid reward at time of publishing."
FR-DC-SSG-FAI-01,The Secret in Sanctuary,1-4,1,2,,,,,,Greg Wright,,,
FR-DC-SSG-FAI-02,The Communion of Laughter,1-4,1,3,,,,,,Greg Wright,,,
FR-DC-STRAT-DRAGON-01,Dancing in the Moonlight,5-10,8,4,,,,,,"Noah Grand, Bryn Keeling",,,
FR-DC-STRAT-DRAGON-02,Head in the Clouds,5-10,8,4,,,,,,"Noah Grand, Bryn Keeling",,,
FR-DC-STRAT-FIEND-01,The Trouble With Quasits,1-4,3,4,Oil of Slipperiness,Rust Bag of Tricks,Hat of Wizardry,,,Kevin N. Haw,500,,"Previously published and delisted as a different product in DM's Guild: https://www.dmsguild.com/product/513500/FRDCSTRATFIEND01--The-Trouble-With-Quasits
Bag of Tricks not a valid reward at time of publishing.
Awards an invalid custom spellbook not associated with an NPC stat block."
FR-DC-STRAT-FIEND-02,Beyond A Shadow of Drought,1-4,3,4,,,,,,Brian Vilarino,,,
FR-DC-STRAT-FIEND-03,The Narrow Path,5-10,8,4,,,,,,Dave Lockwood,,,
FR-DC-STRAT-FIEND-04,A Devil in the Streets,5-10,8,4,,,,,,Mike Olson,,,
FR-DC-STRAT-FIEND-05,Those Who Walk Towards Goldenleaf,5-10,8,4,,,,,,Alexis Paige,,,
FR-DC-STRAT-FIEND-06,Cold Blooded Bandit,11-16,13,2,,,,,,Anealia Kortkamp,,,
FR-DC-STRAT-FIEND-07,Go There & Kill More Things,11-16,13,4,,,,,,Nguyen Le,,,
FR-DC-STRAT-TALES-01,What Big Teeth,5-10,8,4,,,,,,Mike Olson,,,
FR-DC-STRAT-TALES-02,On Fey Tides,5-10,8,4,,,,,,Jim Heitman,,,
FR-DC-STRAT-TALES-03,The Beast Within,11-16,13,4,,,,,,KC Carr,,,
FR-DC-STRAT-TALES-04,The Baroness and the Hag,11-16,13,4,,,,,,Kevin Haw,,,
FR-DC-STRAT-UNDEAD-01,Undead Like Me,5-10,8,4,,,,,,Alexis Paige,,,
FR-DC-STRAT-WYRM-01,Day of the Dragon,1-4,3,4,,,,,,Zach Sundstrom,,,
FR-DC-STRAT-WYRM-02,A Golden Start,1-4,3,4,,,,,,Ryan Lay,,,
FR-DC-STRAT-WYRM-03,The Wayward Wyrmling,5-10,8,4,,,,,,Dave Lockwood,,,
FR-DC-STRAT-WYRM-04,Stacked Stones & Broken Bones,5-10,8,4,,,,,,Bryn Keeling,,,
FR-DC-STRAT-WYRM-05,"Wrong Wyrm, Right Time",11-16,13,4,,,,,,Brad Wong,,,
FR-DC-STRAT-WYRM-06,The Ashen Pact,11-16,13,4,,,,,,Jon Klucharits,,,
FR-DC-STRAT-WYRM-07,Save My Dragon Love,11-16,13,4,,,,,,Noah Grand,,,
FR-DC-SV-A1,Expedition to the Severed Vault,5-10,8,2,"Dust of Disappearance, Spellwrought Tattoo of Jump","Ring of Free Action, Delver property",,,,Jeremy Cheong,2500,Book (4),
FR-DC-TBS-03,One Chance,11-16,13,2,,"Necklace of Prayer Beads (Favor x6), Loud property",,,"Bounty-License, Novice Hunter, Bronze Hunter, Silver Hunter, Gold Hunter, Platinum Hunter, Master Hunter, Legendary Hunter",JWei伟,25000,,
FR-DC-TGT-01,Kobolds Are The Worst Guests!,1-4,3,2,Potion of Healing (x3),"Ring of Mind Shielding, Delver property",,,,Dagny Mol,250,"War Pick (2), Shield (2), Smith's Tool",
FR-DC-TGT-02,Those Who Plant,1-4,3,2,Gem of Brightness,"Cloak of Protection, Hidden Message property",,,,Dagny Mol,250 per character,Quarterstaff,
FR-DC-TGT-03,The Show Must Go On,1-4,3,2,Potion of Healing (x3),Boots of Elvenkind,,,,Dagny Mol,0,"Shortsword, Shortbow, Chain Shirt, Scimitar (2), Light Crossbow (2), Leather Armor (2), Mace (2), Heavy Crossbow (2)",
FR-DC-THAY-01,Crazy Lich Thayans,5-10,8,4,"Spellwrought Tattoo of Dispel Magic, Perfume of Bewitching","Lash of Immolation, Language property (Thayan)","Hat of Wizardry, Hidden Message property",,"Wanted By The Inquisition, About A Boy, Devorable",Jamie Chan,5000,,
FR-DC-THAY-02,How to Seduce a Thayan in Tendays,5-10,8,4,"Dust of Disappearance, Dust of Sneezing and Choking","Cli Lyre, Sentinel property (Undead)","Moon-Touched Rapier, Waterborne property",,,Jamie Chan,4005,,
FR-DC-THAY-03,The 400 Year Old Thayan,5-10,8,4,"Potion of Psionic Fortitude, Potion of Animal Friendship","Gloomwrought Studded Leather, Delver property","Dread Helm, Guardian property",,"School of Thought, Death is a Mercy",Jamie Chan,5000,Rations (5),
FR-DC-THAY-04,What Thayans Want,5-10,8,4,"Elemental Gem (Blue Sapphire), Elemental Gem (Red Corundum), Elemental Gem (Yellow Diamond)","Staff of Healing, Temperate property OR Portable Hole, Sentinel property (Monstrosities) OR Belt of Dwarvenkind, Songcraft property","Cast-Off Plate Armor, Unbreakable property",,The Friends We Made Along The Way,Jamie Chan,4850,,
FR-DC-THAY-05,Four Assassinations & a Funeral,5-10,8,4,"Potion of Growth, Potion of Pugilism","Amulet of Health, War Leader property OR Mace of Terror, Beacon property OR Bowl of Commanding Water Elementals, Waterborne property","Pole of Angling, Compass property",,The Lost,Jamie Chan,500 per character,,
FR-DC-THAY-06,Thay Actually,5-10,8,4,,"Robe of Eyes, Strange Material (matched eyes) OR Ring of X-ray Vision, Secret Message property OR Ring of Force Resistance, Guardian property",,,"The Long Death, Hope Springs Eternal",Jamie Chan,500 per character,,
FR-DC-TIMBERDALE-01,The Tulba Dish,1-4,3,2,,,,,Friend of Dang,Johnny Vestergaard,520,Antitoxin (2),"Awards too much gold.
No magic items awarded."
FR-DC-TIMBERDALE-02,Whispers of River Shuteye,1-4,3,2,Potion of Hill Giant Strength,,,,,Johnny Vestergaard,255,Vial of Acid,"Gold summary does not match adventure.
Awards invalid consumables in text not in summary.
No permanent magic items awarded."
FR-DC-TKM-RGT-01,Charming,1-4,3,2,Potion of Water Breathing,"Sending Stones, Guardian property",,,A Wild Companion,"Tricia Monsod, Kai Monsod",250,,
FR-DC-TKM-RGT-02,Boil and Bubble,1-4,3,2,Spellwrought Tattoo of Water Walk,"Helm of Underwater Action, Harmonious property",,,,"Tricia Monsod, Kai Monsod",250,,
FR-DC-TKM-WBM,Welcome to the Black Mall,1-4,3,4,"Potion of Healing, Spellwrought Tattoo of Cure Wounds, Spellwrought Tattoo of Zephyr Strike","Insignia of Claws, Temperate property","Wand of Conducting, War Leader property",,,Tricia Monsod,500,,
FR-DC-TKM-WW,What's Within,5-10,8,2,Potion of Greater Healing,"Wand of Binding, Guardian property",,,"Let's Grow Together!, Let Them Take Care Of It, Let's End This!, What Now?","Tricia Monsod, Kai Monsod",2500,,
FR-DC-TRIDEN-MYKE-05,Shadow on the Sands,5-10,8,4,"Dried Leech Arrow, Potion of Psychic Resistance, Potion of Necrotic Resistance","Bracers of Defense, Guardian property",Orb of Direction,,One Eye on You,MykeMyke,5000,,
FR-DC-TT-101,Water has no Shape,1-4,3,4,"Spellwrought Tattoo of Jump, Dust of Dryness, Potion of Growth","Helm of Underwater Action, Strange Material property (Koalinth skull) OR Driftglobe",Candle of the Deep,,,Ting Yuen Tjiong,500,"Hunting Trap, Smith's Tools, Tinker's Tools, Shortbow (2), Quiver (2), Arrow (40)",
FR-DC-TT-201,Return to Mountain's Toe Gold Mine,5-10,8,4,"Potion of Hill Giant Strength, Spellwrought Tattoo of Find Steed, Spellwrought Tattoo of Revivify","Necklace of Prayer Beads (Favor x1, Blessing x3, Smiting x2)","Staff of Birdcalls, Beacon property",,,Ting Yuen Tjiong,5000,"Hempen Rope 100’ (2), Shovel (5), Miner’s Pick (5), Oil (10), Climber Kit (10), Holy Water (6), Healer’s Kit, Ball Bearings (1000), Silvered Adamantine Mace",
FR-DC-TT-301,"Seelie, Rabbit, Tricks are for Fools",11-16,13,4,Spellwrought Tattoo of Find Greater Steed,"Spellguard Shield, Harmonious property","Dread Helm, Illusion property",,Charm of the Donjon,Ting Yuen Tjiong,40000,"Fine Wine (2 ea), Acid (1 ea), Silvered Warhammer, Tuning Fork, Sunburst Pendant",
FR-DC-UCON24,The Icarus Connection,11-16,13,4,Mind Crystal (Quickened),"Moon Sickle +3, Harmonious property - Adamantine","Moon-Touched Shortsword, Language property (Sylvan) - Adamantine",,"Charm of the Talons, Portal of Selûne",Bryan Mets,50000,,
FR-DC-UCON25-01,Burl Trouble,1-2,1,1,,"Cast-Off Half Plate, Strange Material property (wood)",Pot of Awakening,,,"Daniel E. Chapman, Bryan Mets",25,,"Not sold separately, part of three adventure bundle."
FR-DC-UCON25-02,Oily Conundrum,1-2,1,1,,"Ruby of the War Mage, Temperate property","Sylvan Talon Scimitar, Harmonious property",,,Bryan Mets,25,,"Not sold separately, part of three adventure bundle."
FR-DC-UCON25-03,Beneath the Burl,1-4,3,2,"Mind Crystal (Subtle), Potion of Comprehension, Potion of Healing","Stone of Good Luck (Luckstone), Guardian property","Veteran's Cane, Beacon property",,,Bryan Mets,250,,"Not sold separately, part of three adventure bundle."
FR-DC-ULCASTER-01,Evoke with a Start,5-10,8,2,"Potion of Healing x2, Spell Scroll of Absorb Elements","Fulminating Treatise, Harmonious property","Smoldering Plate Armor, Temperate property",Evoker Wizard,"Alright in O’l Gus’ Estimation, Evil in the Ruins",Nick Stefanski,2121,"Acid (2), Alchemist's Fire, Alchemist's Supplies, Tinker's Tools",Incorrect gold calculation for mundane items.
FR-DC-UNITE-SHADOW-01,To Be an Apprentice,1-4,3,4,,,,,,Jeremy Johnston,,,
FR-DC-VECNA-01,Three Body Problem,5-10,8,4,,,,,,"Steven Truong, Cameron Pearce",,,
FR-DC-VECNA-02,Eldritch Eye Wide Shut,5-10,8,4,,,,,,"Steven Truong, Cameron Pearce",,,
FR-DC-VECNA-03,Neverdeath Nights,5-10,8,4,,,,,,"Steven Truong, Cameron Pearce",,,
FR-DC-VIN-01,"Welcome Home, Adventurer!",5-10,8,4,,,,,,Vin De Guzman,,,
FR-DC-VMT-01,The Lord of the Reindeer,5-10,8,4,"Potion of Greater Healing, Spell Scroll of Nystul's Magic Aura, Spell Scroll of Pass without Trace","Figurine of Wondrous Power (Golden Lions), Beacon property","Clothes of Mending, Temperate property",,,Mitchell Tee,5000,,
FR-DC-WATERDEEP-CDZ,Sweet Dreams are Made of Candies,1-4,3,2,Oil of Slipperiness,"Insignia of Claws, Strange Material property (pastry)",,,Sugar Rush,Jamie Chan,150,,
FR-DC-WATERDEEP-CHZ,Sweet Dreams are Made of Cheese,1-4,3,2,"Spellwrought Tattoo of Featherfall, Potion of Healing, Mind Crystal (Subtle)","Armor of Fungal Spores, Strange Material property (cheese plate)",,,"Cheese of All Trades, Waterdhavian Gourmet",Jamie Chan,440,"Alchemist's Fire (2), Alchemist's Supplies, Fine Clothes (2), Poisoner's Kit",
FR-DC-WATERDEEP-GSZ,Sweet Dreams are Made of Geese,1-4,3,2,Deck of Miscellany,"Bag of Holding, War Leader property",,Transmuter Wizard,Point Me,Jamie Chan,200,,
FR-DC-WATERDEEP-GSZ+,Sweet Dreams are Made of Geese Again,1-4,3,2,Potion of Healing (x3),"Ring of the Orator, Songcraft property","Clockwork Amulet, Guardian property",,Loose The Goose,Jamie Chan,150,,
FR-DC-WATERDEEP-KYZ,Sweet Dreams are Made of Keys,1-4,3,2,Spellwrought Tattoo of Revivify,"Staff of the Python, Unbreakable property",,,Zhentarim's Lament,Jamie Chan,300,"Brewer's Supplies, Calligrapher's Supplies (2), Cartographer's Tools (2), Story Award Mundane Equipment",
FR-DC-WATERDEEP-PCZ,Sweet Dreams are Made of Peace,1-4,3,2,"Potion of Healing, Perfume of Bewitching, Potion of Climbing","Cloak of Protection, Language property (Celestial)",,,Laughter Is The Best Medicine,Jamie Chan,100,,
FR-DC-WATERDEEP-TRZ,Sweet Dreams are Made of Trees,1-4,3,2,Dust of Sneezing and Choking,"Wraps of Unarmed Prowess +1, Guardian property",,,Watch Yourself,Jamie Chan,150,,
FR-DC-WATERDEEP-TZZ,Sweet Dreams are Made of Teas,1-4,3,2,Dust of Dryness,"Helm of Comprehending Languages, Illusion property",,,Tea-spiration,Jamie Chan,200,,
FR-DC-WCAG-01,Black Water & Blue Wine,1-4,3,2,,,,,,Mike Olson,,,
FR-DC-WCAG-02,Neverwinter Days & Lunar Nights,1-4,3,2,,,,,,Nguyen Le,,,
FR-DC-WCAG-03,Crashing Waves & Crushing Depths,1-4,3,2,,,,,,Jay Africa,,,
FR-DC-WCAG-04,A Neverdeath to Remember,1-4,3,2,,,,,,Roberto C. Rivera,,,
FR-DC-WCAG02-01,Mayhem in the Squallrider,1-4,3,2,"Potion of Healing, Spell Scroll of Create Bonfire","Alchemy Jug, Blissful property",,,,Jay Africa,245,,
FR-DC-WCAG02-02,Murder All the Way Down,1-4,3,2,"Potion of Healing, Spell Scroll of Detect Magic","Emerald Pen, Waterborne property",,,,Mike Olson,250,,
FR-DC-WCAG02-03,Fixing the Pearl Fissures,1-4,3,2,"Spell Scroll of Find Familiar, Spell Scroll of Speak with Animals, Spell Scroll of Command",Cloak of the Manta Ray. Temperate property,,,,Marc Kassouf,230,Tinker's Tools,
FR-DC-WCAG02-04,An Inside Job,1-4,3,2,Spell Scroll of Enhance Ability,"Gloves of Thievery, Delver property",,,,"Roberto C. Rivera, Mike Olson",250,,
FR-DC-WCAG02-05,Shake 'N' Bake,5-10,8,2,"Potion of Climbing, Potion of Healing, Spell Scroll of Bless","Necklace of Prayer Beads (Blessing x1, Curing x1, Favor x2, Smiting x1, Wind Walking x1), Sentinel property (Dinosaurs)",,,,Nguyen Le,2500,,
FR-DC-WCAG02-06,Whispers Beneath the Waves,5-10,8,2,Potion of Water Breathing,"Periapt of Proof Against Poison, Waterborne property",,,,"Eric Johnson, Nguyen Le",2000,"Javelin, Spear, Trident",
FR-DC-WCAG03-01,How to Get Ahead in Chult,1-4,3,2,,,,,,"Violet Fermin, Mike Olson",,,
FR-DC-WCAG03-02,The Backside of Water,1-4,3,2,,,,,,Mike Olson,,,
FR-DC-WCAG03-03,Birds of Paradise,1-4,3,2,,,,,,"S. Nathan Depetris, Marc Kassouf",,,
FR-DC-WCAG03-04,The Eyes of Shaktari,1-4,3,2,,,,,,Jay Africa,,,
FR-DC-WCAG04-01,Hit the Bricks!,1-4,3,2,,,,,,"Mike Olson, Violet Fermin",,,
FR-DC-WCAG04-02,Underwater Kingdom,1-4,3,2,,,,,,Roberto C. Rivera,,,
FR-DC-WCAG04-03,A Lighter Shade of Death,1-4,3,2,,,,,,"Nathan DePetris, Marc ""DM Mythall"" Kasssouf",,,
FR-DC-WCAG04-04,Eve of Explosive Endings,1-4,3,2,,,,,,"Wolf Miller, S. Nathan DePetris",,,
FR-DC-WCAG04-05,All the Worlds' Stage,5-10,8,2,,,,,,Jay Africa,,,
FR-DC-WCAG04-06,A Patch of Unfurled Green,5-10,8,2,,,,,,,,,
FR-DC-WCAG04-07,The Gloom of Glimmer-Goo Cove,1-4,3,2,,,,,,Greg Marks,,,
FR-DC-WE-01,Enter the Arena,5-10,8,4,,,,,,Richard Bellotti,,,
FR-DC-WE-02,Wyrmwood and Wavecrest,11-16,13,4,,,,,,Richard Bellotti,,,
FR-DC-WE-03,Veins and Veils,11-16,13,4,,,,,,Richard Bellotti,,,
FR-DC-WE-04,Tempest and Tectonics,11-16,13,4,,,,,,Richard Bellotti,,,
FR-DC-WE-05,The Bonebind Curse,17-20,18,4,,,,,,Richard Bellotti,,,
FR-DC-WOUNDS-01,Over the River and Through the Woods,5-10,8,4,,,,,,T.I. Garrison,,,
FR-DC-XMAS-01,Silent Night,1-4,3,4,Keoghtom's Ointment,"Boots of Elvenkind, Temperate property","Cloak of Billowing, Guardian property",,,Hunter Sinclair,500,Unspecified Armor/Weapons,
FR-DC-YLRA01-04,Down in Flames,5-10,8,4,,,,,,John Prichard,,,
FR-DC-YLRA01-05,The Shadow from the Stars,11-16,13,4,,,,,,John Prichard,,,
